after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.06536812445223435,0.9683499999999998,0.12246902093714046,0.09600000000000006,0.9730000000000008,0.09363664963983485,54,768,32.32759714126587
2000,1000,0.07023595668376885,0.9609428571428567,0.13090404881264459,0.10200000000000005,0.9680000000000007,0.1027342938659521,50,768,30.023755073547363
3000,1000,0.07466616891472841,0.9503111111111111,0.1384539761544308,0.10200000000000006,0.9580000000000007,0.10404558404628023,59,765,26.669322967529297
4000,1000,0.09781467244926823,0.9403732026143793,0.17719778664946506,0.13600000000000007,0.9500000000000007,0.12926189523638,80,732,30.012748956680298
5000,1000,0.07810760160686599,0.9516571428571424,0.14436628828131728,0.11300000000000007,0.9570000000000007,0.10845336945667738,66,775,71.67372703552246
6000,1000,0.09338192256666934,0.9505000000000001,0.17005662322684859,0.1290000000000001,0.9550000000000007,0.1247066174291045,73,771,55.73681592941284
7000,1000,0.0856085628616216,0.9437904761904757,0.15697808768804003,0.11500000000000006,0.9510000000000007,0.11997246306011655,67,743,77.83384394645691
8000,1000,0.09347080205072257,0.964054761904762,0.1704185220431222,0.1230000000000001,0.9680000000000007,0.11909541780510885,81,775,71.45596599578857
9000,1000,0.08934018151432836,0.9466999999999997,0.16327233508644556,0.12300000000000007,0.9530000000000007,0.12055333641524256,76,766,48.12658619880676
10000,1000,0.09059371181435795,0.9414833333333333,0.16528314466254923,0.11400000000000009,0.9500000000000007,0.12121371168392754,79,764,28.18106698989868
11000,1000,0.09427737881140294,0.9396722222222224,0.17136199668617352,0.12300000000000008,0.9470000000000007,0.12432563909980396,81,763,24.97415590286255
12000,1000,0.08674093070901304,0.9323999999999996,0.1587165059435258,0.12300000000000008,0.9400000000000007,0.11760210189480994,74,755,44.27002692222595
13000,1000,0.09061694792032149,0.9430492063492069,0.1653459203729793,0.12300000000000008,0.9500000000000007,0.12352883511743697,74,772,75.30229091644287
14000,1000,0.07629762434138357,0.9509405483405476,0.14126130951471524,0.11000000000000007,0.9610000000000007,0.10438190192225096,64,742,48.447673082351685
15000,1000,0.08975190727127434,0.9500173160173161,0.16400921308982686,0.11700000000000008,0.9570000000000007,0.11961351488431703,77,761,30.07422685623169
16000,1000,0.11719300762528023,0.9386666666666666,0.20837081385465706,0.14900000000000008,0.9470000000000007,0.14520561989669392,102,769,38.49438405036926
17000,1000,0.10192436601456911,0.9353079365079362,0.18381739216012863,0.13200000000000006,0.9430000000000007,0.13147194977710766,86,734,56.52153301239014
18000,1000,0.09634463799540169,0.9494162907268174,0.17493705554438313,0.13700000000000007,0.9560000000000007,0.126301951550508,75,755,47.95838904380798
19000,1000,0.09195416157815517,0.9446444444444441,0.1675942594822615,0.12600000000000006,0.9520000000000007,0.12123293455582798,76,736,42.05670499801636
20000,1000,0.10659672413660055,0.9316166666666665,0.19130418793942125,0.14100000000000007,0.9400000000000007,0.13625183577930844,91,751,50.807969093322754
21000,1000,0.09345273798957697,0.9439999999999997,0.1700692116984841,0.13000000000000006,0.9500000000000007,0.12532473022566695,78,758,64.28627490997314
22000,1000,0.10481837832113472,0.9542,0.18888755595079498,0.14000000000000007,0.9590000000000007,0.1365543201083513,85,766,52.04129600524902
23000,1000,0.10284534860229315,0.9425222222222219,0.1854544357701807,0.14000000000000007,0.9500000000000007,0.13435436095273923,82,761,41.58990478515625
24000,1000,0.1111311141217933,0.9514761904761903,0.19901728258490137,0.15000000000000008,0.9580000000000007,0.1419294468318873,91,748,35.86147999763489
25000,1000,0.1087788170675709,0.9438675324675323,0.19507557062379063,0.14500000000000007,0.9530000000000007,0.14005047930856548,85,755,40.769346952438354
26000,1000,0.09333878958286226,0.9566,0.17008207907137116,0.12800000000000006,0.9620000000000007,0.1224794899270595,79,781,34.250067949295044
27000,1000,0.10430838063161504,0.9564555555555555,0.18810279411404887,0.14200000000000007,0.9620000000000007,0.13281292123322475,82,762,60.588403940200806
28000,1000,0.10093980206642438,0.9545333333333332,0.18257291919794524,0.13500000000000006,0.9600000000000007,0.1271446405616688,88,776,46.59861779212952
29000,1000,0.1004076356897382,0.9434968253968258,0.18149991507894003,0.1340000000000001,0.9490000000000007,0.12706811702352502,81,728,37.5945029258728
30000,1000,0.08669746852764099,0.929607359307359,0.15860321149571074,0.11700000000000006,0.9390000000000007,0.11981437505557126,76,753,35.352596044540405
31000,1000,0.09828460597387384,0.9547999999999998,0.17822336638768202,0.13100000000000006,0.9590000000000007,0.12872601771613093,83,776,36.18905305862427
32000,1000,0.09901737782626824,0.953415384615384,0.17940279841691492,0.13800000000000007,0.9590000000000007,0.13266234100966418,84,759,32.218185901641846
33000,1000,0.10266855480375794,0.9449761904761904,0.18521419639102174,0.1430000000000001,0.9530000000000007,0.1377451254162101,83,734,29.4093759059906
34000,1000,0.10382308757286192,0.944352380952381,0.18707856249528038,0.1370000000000001,0.9510000000000007,0.1329623381043353,90,764,26.095415830612183
35000,1000,0.09977360179499346,0.9437055555555557,0.18046724105307985,0.13100000000000006,0.9500000000000007,0.1274587378324343,86,760,34.89207887649536
36000,1000,0.09092413615133299,0.9469,0.1659164814589413,0.11900000000000008,0.9530000000000007,0.12138050334001482,79,756,29.809866189956665
37000,1000,0.10061010502771546,0.9418666666666666,0.18180031791292192,0.13200000000000006,0.9480000000000007,0.13271095731165716,87,760,30.37100887298584
38000,1000,0.12039570786368023,0.9405999999999997,0.21346778686710308,0.1500000000000001,0.9470000000000007,0.15075484753282797,104,777,30.047409057617188
39000,1000,0.10296148827929899,0.9424090909090908,0.18564104347240237,0.13400000000000006,0.9480000000000007,0.13056767290800242,87,757,32.52897810935974
40000,1000,0.09990233556774923,0.9424908424908427,0.1806555115631395,0.12400000000000008,0.9510000000000007,0.12922251998488524,87,771,31.978084802627563
41000,1000,0.10224534204045953,0.9458999999999997,0.1845428590042571,0.14200000000000007,0.9510000000000007,0.1353303375854291,83,751,33.39786195755005
42000,1000,0.10765629050457706,0.9401948717948714,0.1931913536780271,0.14200000000000007,0.9480000000000007,0.13858226678535984,92,746,39.28329086303711
43000,1000,0.11027328568518888,0.9387047619047619,0.19736172481663797,0.14400000000000007,0.9460000000000007,0.1409673344953729,94,743,28.593061923980713
