after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,1.0,0.382207692307692,0.553039451935866,1.0000000000000007,0.3860000000000003,0.5011441855530101,983,370,39.49129509925842
2000,2000,1.0,0.30188138528138536,0.46376173543050925,0.9999999999999464,0.3060000000000002,0.4115485147323344,1975,588,41.42969584465027
3000,3000,0.9996666666666667,0.27791683344835605,0.4349213878840176,0.9996666666666238,0.28166666666666584,0.3834412589057759,2961,813,46.262718200683594
4000,4000,0.99975,0.28393570048309325,0.44226513772202153,0.9997499999999189,0.2879999999999965,0.3926207460359029,3939,1099,57.84595608711243
5000,5000,0.997639393939394,0.2852981830970946,0.44370780242396873,0.9981999999999256,0.29380000000000084,0.4023110603708566,4847,1343,63.11733102798462
6000,6000,0.9958916666666673,0.28802134051062733,0.4468185168827207,0.9966666666665929,0.298666666666667,0.4087718475397236,5752,1588,65.56920504570007
7000,7000,0.9943623693379795,0.28008032049527026,0.4370558728365529,0.9954285714285086,0.2937142857142871,0.4043848908111327,6648,1766,69.31094193458557
8000,8000,0.9938869047619048,0.2777229391172968,0.43413503547380594,0.9951250000001091,0.2932499999999858,0.4050231069399212,7548,1982,78.61631393432617
9000,9000,0.9890248677248675,0.2843643805987276,0.4417242320485661,0.9911111111109383,0.30166666666667746,0.4116416888823511,8387,2252,100.68313002586365
10000,10000,0.9859859706959704,0.28103287438796803,0.4373959748523586,0.988399999999911,0.2985999999999884,0.40856194686463354,9288,2478,118.40413403511047
11000,11000,0.9831543062997611,0.28632179478933306,0.44348768014318574,0.986000000000221,0.305090909090899,0.41462422704599855,10171,2774,136.85119104385376
12000,12000,0.9833411673294027,0.27988491321657244,0.4357452106456191,0.986166666666577,0.2990833333333219,0.40986542897364797,11092,2959,103.12996697425842
13000,13000,0.9842892826630383,0.2736383002887762,0.4282269503437541,0.9869230769231674,0.29369230769231836,0.4041929601527342,11978,3105,92.0860710144043
14000,14000,0.9835860799331392,0.2804517777280675,0.4364560175060267,0.9862142857144931,0.3001428571428637,0.409768714497774,12912,3453,134.81824207305908
15000,15000,0.9807547857153743,0.2867306329718865,0.44373282146255993,0.9837999999999142,0.30666666666665776,0.41595990069802724,13762,3744,129.87739610671997
15291,15291,0.9801258713554302,0.2891167890507925,0.4465195720748921,0.9831927277484352,0.3093322869661758,0.41884991823034357,13988,3825,37.89120888710022
15292,15292,0.9801271709976381,0.2890978826429289,0.4464971583147837,0.9831938268377829,0.3093120585927311,0.41887702282196265,13989,3825,0.09952092170715332
15293,15293,0.9801284704698805,0.2890789787076224,0.4464747467867592,0.9831949257826899,0.30929183286471507,0.41887142917196796,13990,3825,0.12653017044067383
