after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9818743589743588,0.5028990717193558,0.6651300373047992,0.9860000000000008,0.5410000000000004,0.6492374263802411,810,370,45.38156509399414
2000,2000,0.986003846153846,0.387505553776118,0.5563587208776452,0.9889999999999561,0.4230000000000003,0.5266162938634446,1712,588,45.204034090042114
3000,3000,0.9873914529914535,0.3502281541125165,0.5170562454842862,0.989666666666632,0.3796666666666694,0.47880807321065894,2629,813,46.26934289932251
4000,4000,0.9826066849816857,0.3707129974684111,0.5383281928813469,0.9857499999999313,0.40199999999999,0.49972277679600025,3407,1099,66.71594095230103
5000,5000,0.9693586524586528,0.38762001151478087,0.5537932496709198,0.975199999999942,0.4245999999999939,0.5186561241031968,4049,1343,80.2676911354065
6000,6000,0.9557794209494223,0.40170859346586174,0.5656695348703851,0.9636666666666085,0.44166666666666227,0.5270628173107879,4677,1588,78.62146711349487
7000,7000,0.9439484785056209,0.4105115262175354,0.5721863018927102,0.9539999999999664,0.45414285714286645,0.5332879293672529,5224,1766,86.20419597625732
8000,8000,0.9294221123622045,0.43156952728979986,0.5894382448776906,0.9436250000000574,0.47912499999998137,0.546764620734631,5673,1982,91.11529183387756
9000,9000,0.9110293302222874,0.4535485011258968,0.6056026673038006,0.929222222222126,0.5030000000000134,0.5583423823898539,6105,2252,128.46626996994019
10000,10000,0.8904927754856381,0.4695001046618582,0.6148362353864568,0.9115999999999371,0.5204999999999846,0.5630295652909917,6475,2478,126.33885097503662
11000,11000,0.8628546745330469,0.49024262970872995,0.6252442353901347,0.8882727272728336,0.5414545454545384,0.5606021401237371,6812,2774,151.48359203338623
12000,12000,0.8472652419605098,0.4946589379756781,0.6246363707252394,0.8741666666666053,0.5461666666666467,0.5594731548121097,7173,2959,126.08715200424194
13000,13000,0.8378649848733944,0.49631405269580076,0.6233708588497489,0.8673846153846753,0.5492307692307882,0.5576445142546279,7572,3105,133.63651514053345
14000,14000,0.823572868267877,0.5083930695236949,0.6286928615747504,0.8546428571429406,0.5612857142857206,0.5579159414297908,7983,3453,149.33136892318726
15000,15000,0.8125554902018577,0.5205682705054537,0.6345856531724667,0.8454666666666132,0.5733999999999829,0.5612665676077673,8361,3744,129.33376216888428
15291,15291,0.8103808774638739,0.5253110215517227,0.6374254525317866,0.8436335099077913,0.5779216532600645,0.5630453434746743,8461,3825,35.120375871658325
15292,15292,0.8103272964758212,0.5253420632060811,0.6374317277206936,0.8435783416166402,0.5779492545121833,0.5630087492073316,8461,3825,0.14633703231811523
15293,15293,0.8103396990589327,0.5253731008008495,0.6374584123792334,0.8435885699338079,0.5779768521545707,0.5630373238003422,8461,3825,0.1551809310913086
