after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,1.0,0.3848743589743587,0.5558256696432702,1.0000000000000007,0.3900000000000003,0.5048965665053909,979,370,37.97933006286621
2000,2000,0.9995,0.3043075757575758,0.4665648944292533,0.9994999999999469,0.3110000000000002,0.41738231788570274,1963,588,39.42898893356323
3000,3000,0.999,0.2828012561063082,0.4408147573648044,0.9989999999999578,0.2896666666666661,0.39192690636982647,2934,813,43.923624992370605
4000,4000,0.99925,0.2900028892884395,0.4495400235735142,0.9992499999999198,0.2977499999999959,0.4031670495925624,3896,1099,59.14707088470459
5000,5000,0.9987333333333333,0.2849971461128631,0.44345157224993104,0.9987999999999253,0.29520000000000113,0.4051194020862151,4839,1343,69.73122692108154
6000,6000,0.998138888888889,0.2837849060923126,0.4419244762588596,0.9983333333332591,0.2946666666666673,0.40573513160460306,5784,1588,70.7112250328064
7000,7000,0.9978095238095237,0.2744029017498726,0.4304341369824308,0.998142857142792,0.2864285714285723,0.39746697212615384,6716,1766,80.87644791603088
8000,8000,0.9975833333333334,0.2721208023987383,0.4276006819017842,0.9980000000001125,0.285999999999986,0.3982848772804467,7631,1982,82.00957584381104
9000,9000,0.9968888888888893,0.2771017420687736,0.43366040698818176,0.9974444444442657,0.2923333333333441,0.40452443434875496,8530,2252,115.21604800224304
10000,10000,0.996866666666667,0.2737310280236478,0.4295196482875435,0.997399999999909,0.2888999999999885,0.4013826914128378,9487,2478,116.69898414611816
11000,11000,0.9959311294765844,0.2785056930392534,0.4352863704717627,0.9966363636365955,0.29409090909089897,0.40626841701679584,10417,2774,143.76934695243835
12000,12000,0.996186868686869,0.2719531302324005,0.4272653452563387,0.9968333333332418,0.2875833333333222,0.40069904546012014,11375,2959,118.13180017471313
13000,13000,0.9963006993006992,0.2651401432904653,0.4188215590520446,0.9969230769231693,0.28153846153847184,0.3940713045916975,12293,3105,121.19128394126892
14000,14000,0.996564935064935,0.272456890925801,0.4279216925232728,0.9971428571430752,0.28878571428572186,0.4011645812985125,13253,3453,136.54107308387756
15000,15000,0.9961006060606059,0.277775634767598,0.4344102971274254,0.9966666666665785,0.29413333333332486,0.4075975853546504,14163,3744,127.9114248752594
15291,15291,0.9959350221857578,0.28025444243740794,0.4374197124859896,0.9965339088353589,0.29690667713032687,0.4108167061424282,14399,3825,33.51969504356384
15292,15292,0.9959352880095751,0.28023611557091316,0.4373974149377643,0.9965341354959144,0.29688726131310555,0.4108116392203205,14400,3825,0.13870596885681152
15293,15293,0.9959355537986283,0.2802177911011838,0.4373751196593002,0.9965343621260966,0.29686784803505434,0.41080657296087114,14401,3825,0.12097406387329102
