after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9903333333333333,0.8092454545454554,0.8906781452225357,0.9910000000000008,0.8160000000000006,0.8601108058608061,933,763,22.95015597343445
2000,1000,0.9891666666666666,0.8023494949494955,0.8860175447202239,0.9900000000000008,0.8110000000000006,0.8541917748917746,929,752,28.15025305747986
3000,1000,0.9890000000000002,0.8156942723942732,0.8940258167137254,0.9900000000000008,0.8240000000000006,0.8654735042735037,931,766,30.02300500869751
4000,1000,0.9936666666666666,0.81284393939394,0.8942055751768789,0.9940000000000008,0.8210000000000006,0.8708809523809521,926,756,28.087286949157715
5000,1000,0.9946666666666666,0.7856904761904769,0.8779138838738442,0.9950000000000008,0.7940000000000006,0.8478436507936504,938,738,31.324466943740845
6000,1000,0.9908333333333333,0.8282666666666669,0.9022859900194848,0.9920000000000008,0.8350000000000006,0.8750153846153843,933,780,29.76600408554077
7000,1000,0.9926666666666666,0.8114344322344327,0.8929476441817411,0.9930000000000008,0.8210000000000006,0.867137409812409,936,767,32.57041692733765
8000,1000,0.9916,0.8169238095238104,0.8958263587772196,0.9920000000000008,0.8220000000000006,0.8668388888888882,943,773,35.84094190597534
9000,1000,0.9856666666666666,0.8163555555555554,0.8930571991137527,0.9870000000000008,0.8230000000000006,0.863002886002886,931,766,32.99971890449524
10000,1000,0.9956666666666666,0.8093634920634925,0.8929005937845065,0.9960000000000008,0.8160000000000006,0.8633909812409806,952,773,43.31269192695618
11000,1000,0.9956666666666666,0.8119000000000007,0.8944419938407071,0.9960000000000008,0.8160000000000006,0.8645420634920629,954,774,38.20748710632324
12000,1000,0.9906666666666666,0.7943666666666671,0.8817231175265948,0.9910000000000008,0.8020000000000006,0.8495041467304615,936,749,39.46587586402893
13000,1000,0.995,0.817967532467532,0.8978403421240198,0.9950000000000008,0.8240000000000006,0.8670322344322344,939,770,35.54441595077515
14000,1000,0.9960000000000001,0.7890427350427363,0.8805240890591343,0.9960000000000008,0.7970000000000006,0.8480738095238087,954,756,39.88318204879761
15000,1000,0.9911190476190476,0.7960217948717948,0.8829213058750638,0.9930000000000008,0.8040000000000006,0.8546797313797311,940,754,41.91436195373535
16000,1000,0.988,0.7935859307359311,0.8801853293073796,0.9880000000000008,0.8050000000000006,0.8522809523809523,931,749,39.519866943359375
17000,1000,0.9896666666666665,0.8092666666666669,0.8904212619824095,0.9900000000000008,0.8170000000000006,0.8590388888888886,937,766,40.77678108215332
18000,1000,0.9936666666666666,0.8173000000000001,0.8968953229398664,0.9940000000000008,0.8250000000000006,0.8699944444444446,928,762,44.520901918411255
19000,1000,0.9905000000000002,0.7899916666666673,0.8789558080867181,0.9910000000000008,0.7990000000000006,0.8500674603174599,942,751,43.81540107727051
20000,1000,0.9910000000000001,0.803809523809524,0.8876432039478922,0.9910000000000008,0.8070000000000006,0.8513731379731379,932,750,44.43718099594116
21000,1000,0.9946666666666667,0.8013380952380953,0.8875970809990076,0.9950000000000008,0.8090000000000006,0.857705555555555,934,750,47.56165599822998
22000,1000,0.9876666666666667,0.813288888888889,0.8920357012121138,0.9890000000000008,0.8180000000000006,0.8613623376623368,934,763,47.76068997383118
23000,1000,0.9899999999999999,0.8068523809523814,0.8890923546201164,0.9910000000000008,0.8150000000000006,0.8592272172272166,933,757,50.19982194900513
24000,1000,0.99175,0.8033580808080807,0.8876684197006792,0.9930000000000008,0.8100000000000006,0.8563414696414688,939,760,39.48158311843872
25000,1000,0.9946666666666666,0.8155492063492066,0.896246268386243,0.9950000000000008,0.8220000000000006,0.869631457431457,937,768,42.47201704978943
26000,1000,0.9841666666666666,0.8006939393939395,0.8830003672866964,0.9850000000000008,0.8080000000000006,0.850486554621848,914,739,44.26623606681824
