after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.999,0.3717356321839077,0.5418461267546578,0.9990000000000008,0.3730000000000003,0.4896447790455391,996,370,59.485100984573364
2000,2000,0.9985,0.2953678160919541,0.4558808260006309,0.9984999999999455,0.2960000000000002,0.4004553807547334,1994,588,50.50458812713623
3000,3000,0.9984444444444444,0.272522988505748,0.4281762959501803,0.9986666666666232,0.2729999999999988,0.3731684943262073,2991,813,46.07697892189026
4000,4000,0.9985,0.27917557471264554,0.43634991052133104,0.9987499999999182,0.2797499999999969,0.3831819170598401,3976,1099,53.70525288581848
5000,5000,0.9986,0.2755537931034473,0.43192276989244394,0.9987999999999234,0.276200000000002,0.38223503196925124,4958,1343,60.7727689743042
6000,6000,0.9971000000000001,0.2702693373901253,0.42526759700000555,0.9976666666665901,0.27166666666666983,0.3798330275991889,5944,1588,57.50399994850159
7000,7000,0.9969476190476193,0.2571714368505995,0.40887099266924476,0.9975714285713565,0.25857142857142573,0.3666972667543018,6939,1766,63.880573987960815
8000,8000,0.9966729166666669,0.25240834057760664,0.40280575108378114,0.9973750000001247,0.2537499999999865,0.36196554320466134,7932,1982,63.68599510192871
9000,9000,0.9949886989553656,0.255417100456448,0.40648744366614153,0.9959999999998054,0.25722222222223246,0.3637382672956802,8909,2252,86.04930782318115
10000,10000,0.9951549084249085,0.2526656468210598,0.40300900248396426,0.9960999999999073,0.25459999999998895,0.3613210956875852,9902,2478,86.10036182403564
11000,11000,0.9953044622044621,0.25669604256460005,0.4081319705887811,0.9961818181820694,0.2584545454545356,0.36480122787421604,10899,2774,115.10558199882507
12000,12000,0.9955457570207568,0.25074915012866084,0.4005990091993865,0.9963333333332408,0.25241666666665596,0.3595639775618877,11896,2959,81.59067702293396
13000,13000,0.9958627500704422,0.24310177960594395,0.3908037736134845,0.9966153846154783,0.24492307692308654,0.35130205612737064,12885,3105,92.04099082946777
14000,14000,0.9958535060177919,0.25059450963409274,0.40042652059966516,0.9965714285716663,0.2522857142857317,0.3584764131800624,13881,3453,110.38901400566101
15000,15000,0.9961299389499388,0.2532882089918204,0.4038807481312855,0.9967999999999102,0.2548666666666586,0.3632465816020497,14881,3744,95.64916586875916
15291,15291,0.9962035893171854,0.2537913239734038,0.40452617077344866,0.9968608985679026,0.255444379046499,0.36458054211470337,15169,3825,26.13766884803772
15292,15292,0.9962038375784125,0.25377472762734227,0.4045051084554563,0.9968611038453921,0.2554276746010869,0.3645784987450453,15170,3825,0.07620406150817871
15293,15293,0.9962040858071721,0.2537581334517307,0.40448404832795143,0.9968613090952658,0.2554109723402914,0.36457645564262553,15171,3825,0.08638119697570801
