after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9794523809523811,0.816081818181818,0.8903347875585507,0.9810000000000008,0.8290000000000006,0.8651885154061622,884,737,25.845224142074585
2000,1000,0.974222222222222,0.8203448717948719,0.8906863461979776,0.9760000000000008,0.8300000000000006,0.8587455266955267,898,756,28.83927297592163
3000,1000,0.9763666666666668,0.8493690476190481,0.9084508993330371,0.9790000000000008,0.8570000000000007,0.8839484126984121,893,773,30.044299125671387
4000,1000,0.9813333333333333,0.8244809523809529,0.8960950720907688,0.9820000000000008,0.8340000000000006,0.8706694805194801,911,763,34.10107398033142
5000,1000,0.9782857142857142,0.8139944444444447,0.8886101122406371,0.9800000000000008,0.8260000000000006,0.8635547619047617,903,750,32.88443398475647
6000,1000,0.9763333333333333,0.8169311688311693,0.8895476715299026,0.9780000000000008,0.8270000000000006,0.8601260128760128,892,750,28.170176029205322
7000,1000,0.9820333333333335,0.8151181818181821,0.8908244167537857,0.9840000000000008,0.8270000000000006,0.8629269119769114,907,753,31.052706956863403
8000,1000,0.9760000000000003,0.8393999999999999,0.9025607579596783,0.9760000000000008,0.8470000000000006,0.874194444444444,903,777,30.950598001480103
9000,1000,0.9799000000000001,0.8353000000000002,0.9018405354781843,0.9810000000000008,0.8420000000000006,0.8709865079365072,907,767,30.846899032592773
10000,1000,0.9716666666666669,0.8200761904761907,0.8894587694166718,0.9750000000000008,0.8280000000000006,0.8567984593837527,904,760,36.37990593910217
11000,1000,0.9700000000000001,0.7969063492063491,0.8749746799850154,0.9720000000000008,0.8090000000000006,0.844966089466089,896,737,32.838778018951416
12000,1000,0.9775666666666666,0.8138888888888889,0.8882505018679204,0.9800000000000008,0.8240000000000006,0.8595093795093797,890,739,38.436952114105225
13000,1000,0.9677499999999999,0.8164238095238102,0.8856694762014701,0.9700000000000008,0.8270000000000006,0.8558094627594625,903,762,38.57593297958374
14000,1000,0.9760000000000001,0.8076303030303036,0.8838683379828003,0.9770000000000008,0.8170000000000006,0.8550417582417578,902,744,40.45584797859192
15000,1000,0.9763333333333335,0.8028000000000007,0.8811036084985204,0.9780000000000008,0.8120000000000006,0.85088865023865,917,751,38.17493987083435
16000,1000,0.986,0.8326080808080807,0.9028350597804292,0.9860000000000008,0.8420000000000006,0.8793668664668658,920,779,41.520041942596436
17000,1000,0.9754523809523808,0.8284893217893223,0.8959844769980715,0.9770000000000008,0.8380000000000006,0.8678925685425686,902,763,41.449212074279785
18000,1000,0.9920000000000001,0.8179807692307697,0.8966249110169046,0.9920000000000008,0.8320000000000006,0.8757503663003658,905,746,44.807827949523926
19000,1000,0.9804666666666667,0.8242388888888892,0.8955907000321178,0.9820000000000008,0.8320000000000006,0.8655219336219331,920,770,41.94133496284485
20000,1000,0.9749000000000003,0.8274428571428569,0.8951393884150788,0.9770000000000008,0.8370000000000006,0.8687373015873002,897,758,40.79627203941345
21000,1000,0.9781666666666667,0.8095333333333339,0.8858964280608856,0.9790000000000008,0.8210000000000006,0.8582933066933066,915,757,47.103322982788086
22000,1000,0.9790666666666666,0.8394948717948721,0.9039248091734006,0.9800000000000008,0.8510000000000006,0.8805515151515145,890,764,45.08636713027954
23000,1000,0.9843333333333333,0.8278555555555562,0.8993387207203897,0.9860000000000008,0.8370000000000006,0.8755396825396817,921,774,49.40859603881836
24000,1000,0.9786666666666668,0.8054772727272734,0.8836660990968426,0.9800000000000008,0.8140000000000006,0.852064191364191,912,751,44.94936513900757
25000,1000,0.9737999999999998,0.8428190476190479,0.9035875624524891,0.9760000000000008,0.8490000000000006,0.8749968253968253,905,778,48.3273491859436
26000,1000,0.9903333333333333,0.8230047619047621,0.8989487965280203,0.9910000000000008,0.8310000000000006,0.8733697691197687,909,755,44.01060199737549
27000,1000,0.9797333333333333,0.8447333333333336,0.9072387230362603,0.9810000000000008,0.8500000000000006,0.8796468253968248,922,792,43.66515803337097
