after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.5184928432106495,0.8500271495745636,0.64410165129145,0.5910000000000004,0.8830000000000007,0.6033327217378153,199,370,41.61311197280884
2000,2000,0.4930245317463658,0.7928143908822418,0.6079718648233758,0.5964999999999991,0.8404999999999929,0.5652518929728771,313,588,45.73396396636963
3000,3000,0.4652265219918364,0.7909043710447593,0.5858460958313116,0.5733333333333344,0.8409999999999997,0.5417381462140536,408,813,51.91244912147522
4000,4000,0.4379192517100773,0.797434081084809,0.5653633285413324,0.5472499999999958,0.8449999999999822,0.5203582065122383,528,1099,70.10725498199463
5000,5000,0.425748731366579,0.7957409139105219,0.5547090569352009,0.5369999999999993,0.8421999999999911,0.5117771408725015,633,1343,78.19251298904419
6000,6000,0.40807116817016936,0.791797600548953,0.5385751846100184,0.5183333333333325,0.8388333333333172,0.4931931461158931,723,1588,83.36854004859924
7000,7000,0.4095501584110025,0.7787171514590265,0.536787859244049,0.5190000000000018,0.8262857142857262,0.490664282037737,821,1766,89.46057915687561
8000,8000,0.4072598161266229,0.7807251285135859,0.53528956527336,0.5172499999999932,0.8291249999999846,0.4901786721375076,920,1982,98.96824502944946
9000,9000,0.3998730063826074,0.7805181320440241,0.5288215437004999,0.5100000000000049,0.8291111111111121,0.4837747036728431,1019,2252,131.44460678100586
10000,10000,0.3922848537396685,0.7789633360127151,0.5217946478122876,0.5008999999999972,0.8274999999999744,0.4741787464943438,1096,2478,147.39595198631287
11000,11000,0.37901841053118285,0.7819449442216635,0.5105613862289097,0.4866363636363585,0.8294545454545499,0.462895845691144,1180,2774,181.39709210395813
12000,12000,0.3706684846252616,0.7764913695726093,0.5017973357955874,0.476916666666662,0.8244166666666354,0.45518425200381596,1233,2959,126.6928539276123
13000,13000,0.366995561192588,0.7769022254029628,0.4985054985587465,0.4744615384615421,0.8246923076923369,0.45314306851656866,1276,3105,106.99668312072754
14000,14000,0.35943524628344115,0.7762394069965113,0.49135164128722664,0.4662142857142881,0.8238571428571465,0.44582722310429984,1393,3453,153.58539199829102
15000,15000,0.35114693826132226,0.778688815281308,0.48402467790031856,0.4560666666666648,0.8258666666666392,0.43808093475543153,1480,3744,142.04592514038086
15291,15291,0.350279715890697,0.7796336757367678,0.4833819378714527,0.45451572820612973,0.8264338499770705,0.43723865376086857,1515,3825,41.00334405899048
15292,15292,0.3502492643911368,0.7795826926295394,0.4833431430733748,0.45448600575464365,0.8263798064347635,0.4372049036843656,1515,3825,0.1015620231628418
15293,15293,0.3502481582686586,0.7795971055836602,0.4833448599700365,0.4544562871902224,0.826391159353929,0.4372121235983119,1515,3825,0.15983200073242188
