after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.996,0.445961452393298,0.6160741756951966,0.9960000000000008,0.47700000000000037,0.5914863784677877,879,370,40.445889949798584
2000,2000,0.9925,0.3710322525787639,0.5401405210444795,0.9929999999999559,0.4070000000000003,0.5164036588151244,1717,588,45.08859205245972
3000,3000,0.9914888888888891,0.3496642170031554,0.5170001612456744,0.9926666666666346,0.3863333333333353,0.494496337015829,2547,813,51.18797516822815
4000,4000,0.9892805555555556,0.3622432353960516,0.5303054101719166,0.9912499999999318,0.3997499999999911,0.5079244321046401,3354,1099,63.92488503456116
5000,5000,0.9831820923520926,0.36727905984017295,0.534783535156975,0.9865999999999415,0.40699999999999537,0.5154800611616451,4094,1343,73.04997897148132
6000,6000,0.9768091592463547,0.3766683473663212,0.5436855653795529,0.9814999999999396,0.4198333333333294,0.5281116883420243,4773,1588,76.7596709728241
7000,7000,0.9741107709750563,0.3729765741023361,0.5394163926817803,0.9788571428571087,0.41828571428572203,0.5251221382612103,5463,1766,81.2593891620636
8000,8000,0.9707708457563126,0.3762482107298051,0.5423097646402696,0.9767500000000646,0.4238749999999828,0.5300426308432978,6118,1982,89.1418080329895
9000,9000,0.9590437256621517,0.38562215552609796,0.5500675132871072,0.9666666666665568,0.4338888888889024,0.5346476841736068,6730,2252,122.37712693214417
10000,10000,0.9507411633061859,0.3836473749438624,0.5466913737610996,0.9597999999999272,0.4334999999999865,0.5337329790235025,7362,2478,139.05855202674866
11000,11000,0.9458586682048019,0.3874434571275693,0.5497129951277812,0.9554545454546871,0.43799999999998707,0.5369207883751635,8058,2774,168.2648470401764
12000,12000,0.9459463845973836,0.38085348266671354,0.543061517985801,0.9551666666665911,0.43224999999998326,0.5338033973197034,8750,2959,125.83107995986938
13000,13000,0.9450280687803482,0.3755822005592947,0.5375328814311061,0.9545384615385363,0.42992307692309284,0.5332367842985805,9351,3105,104.36787700653076
14000,14000,0.943650432666369,0.3806979249326642,0.5425245699389687,0.9532857142858441,0.4339999999999991,0.5362095683140761,10115,3453,150.75917100906372
15000,15000,0.9378348105263514,0.3878585117913938,0.5487652502932812,0.9477999999999301,0.44099999999998685,0.5398137564879801,10751,3744,139.7370171546936
15291,15291,0.9366808257568123,0.39092273400107214,0.5516252598147801,0.9468314694918837,0.4437904649793718,0.541665357683014,10925,3825,38.95611906051636
15292,15292,0.9366849664299907,0.39089717012885133,0.5516005263957433,0.946834946377348,0.44376144389224537,0.5416844309223302,10926,3825,0.13896417617797852
15293,15293,0.9366891065616567,0.3908716095998427,0.5515757950943371,0.9468384228075912,0.44373242660041307,0.541670806970361,10927,3825,0.1481609344482422
