after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.6870178099678096,0.9461483516483516,0.7960252713181993,0.7230000000000005,0.9520000000000007,0.7387873210974869,555,769,24.320980310440063
2000,1000,0.6864853313353315,0.9371055555555552,0.7924523634567171,0.7260000000000005,0.9460000000000007,0.7440947979608958,540,749,27.908265590667725
3000,1000,0.7082844155844157,0.9427230769230767,0.8088589138772467,0.7520000000000006,0.9520000000000007,0.758321445221445,547,737,27.140188217163086
4000,1000,0.7068542929292926,0.9370309523809522,0.8058279654101983,0.7480000000000006,0.9480000000000007,0.7552094118678015,540,722,33.32698440551758
5000,1000,0.7039786435786436,0.9382166666666668,0.8043921356518959,0.7390000000000005,0.9480000000000007,0.7558188990203696,559,747,34.77259826660156
6000,1000,0.7256533577533574,0.9356205128205128,0.8173681398800207,0.7610000000000006,0.9470000000000007,0.7717828694181635,545,712,37.187668561935425
7000,1000,0.7306335137085148,0.9412555555555554,0.8226776124039522,0.7640000000000006,0.9470000000000007,0.7741385686103901,585,750,38.23330330848694
8000,1000,0.7108230158730158,0.9394571428571427,0.8093022945667646,0.7480000000000006,0.9490000000000007,0.758199916749916,568,758,35.99873971939087
9000,1000,0.7025089355089353,0.9354714285714287,0.8024235844288722,0.7360000000000005,0.9450000000000007,0.7512786352536354,561,762,35.691091537475586
10000,1000,0.7060713564213569,0.9443555555555557,0.8080120400563158,0.7390000000000005,0.9520000000000007,0.7522819216387325,552,748,38.37841582298279
11000,1000,0.7037099206349209,0.9364413919413924,0.8035637840843064,0.7410000000000005,0.9450000000000007,0.7522186794629517,557,747,42.062206745147705
12000,1000,0.7320756576756577,0.9340428571428568,0.8208180064724755,0.7680000000000006,0.9430000000000007,0.7728587840264306,566,735,40.205629110336304
13000,1000,0.7268795038295042,0.9397666666666658,0.8197266348127283,0.7590000000000006,0.9490000000000007,0.7727213352597224,556,730,39.031872034072876
14000,1000,0.7308761904761907,0.9394555555555554,0.8221429056801124,0.7630000000000006,0.9470000000000007,0.7743730643625376,563,738,46.028677225112915
15000,1000,0.7087502886002888,0.9376666666666666,0.8072943108182641,0.7420000000000005,0.9500000000000007,0.7615381379370545,537,734,44.530134439468384
16000,1000,0.7182723622782446,0.9437060606060605,0.8157000982858097,0.7560000000000006,0.9540000000000007,0.769407181363528,560,746,39.12302875518799
17000,1000,0.7123380952380952,0.9284761904761902,0.806171626802742,0.7490000000000006,0.9400000000000007,0.759004540883952,560,736,46.73137354850769
18000,1000,0.7078546897546901,0.9213650793650792,0.8006195416559898,0.7430000000000005,0.9330000000000007,0.7528518034253319,554,729,41.26681923866272
19000,1000,0.725020695970696,0.9359888888888891,0.8171070436061665,0.7610000000000006,0.9440000000000007,0.7681909083606447,575,744,44.33555817604065
20000,1000,0.7184976190476191,0.938731746031746,0.8139808992775397,0.7510000000000006,0.9480000000000007,0.7686230279524398,564,753,42.41998052597046
21000,1000,0.700165945165945,0.9382692640692643,0.8019165877225761,0.7370000000000005,0.9470000000000007,0.7506803820104905,564,760,43.65059304237366
22000,1000,0.6974297369297378,0.9368752747252749,0.7996116657880655,0.7340000000000005,0.9450000000000007,0.7507301440389673,552,752,49.0476450920105
23000,1000,0.7043364163614164,0.9364190476190476,0.803963845547704,0.7400000000000005,0.9450000000000007,0.7565205359078138,562,751,43.66352200508118
24000,1000,0.6973686868686866,0.9277357142857143,0.7962243365694296,0.7360000000000005,0.9390000000000007,0.7488828504828514,536,720,45.24396848678589
25000,1000,0.70230753968254,0.9454666666666668,0.8059458218971514,0.7380000000000005,0.9510000000000007,0.754729733441653,557,753,48.98982834815979
26000,1000,0.7235747398800036,0.9252285714285718,0.8120702066878417,0.7540000000000006,0.9350000000000007,0.7611819536672472,565,743,45.44378113746643
27000,1000,0.7165043290043291,0.9372032467532472,0.8121268757543062,0.7550000000000006,0.9440000000000007,0.7638586496836496,556,733,53.955506801605225
