after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.7089447712418303,0.9110904761904765,0.7974058962571517,0.7360000000000005,0.9240000000000007,0.7352003027261691,596,759,27.068147897720337
2000,1000,0.7857002442002444,0.8586216450216452,0.8205440073395351,0.8070000000000006,0.8730000000000007,0.7698582426173756,655,713,23.868420600891113
3000,1000,0.8314137085137084,0.869285714285715,0.8499280352346096,0.8490000000000006,0.8810000000000007,0.8055211189137651,725,752,26.66429305076599
4000,1000,0.8318381895881901,0.8527192918192923,0.8421493237989464,0.8520000000000006,0.8630000000000007,0.7898794599191654,717,725,26.646530151367188
5000,1000,0.8259871794871793,0.8509394957983197,0.8382776950328289,0.8460000000000006,0.8630000000000007,0.7929663336663334,703,718,28.36685061454773
6000,1000,0.8581714285714288,0.8466500000000007,0.8523717825494925,0.8700000000000007,0.8580000000000007,0.8113128012338531,761,745,27.65339684486389
7000,1000,0.8601555555555557,0.8512972527472525,0.8557034793216154,0.8760000000000007,0.8630000000000007,0.8129726496016361,750,728,29.616931438446045
8000,1000,0.8047064158064159,0.8816452380952385,0.8414206822390184,0.8240000000000006,0.8910000000000007,0.795830920390682,704,758,32.34230589866638
9000,1000,0.8404342712842714,0.8506626984126986,0.8455175520506041,0.8560000000000006,0.8650000000000007,0.8025005495673914,729,736,33.495792388916016
10000,1000,0.8634238095238097,0.8607970862470871,0.8621084470759263,0.8800000000000007,0.8740000000000007,0.8207534675850456,734,728,31.74212336540222
11000,1000,0.8340947496947497,0.8626287157287159,0.8481218034497703,0.8520000000000006,0.8720000000000007,0.7996149711399707,714,734,34.148197412490845
12000,1000,0.8336103174603168,0.8654889610389613,0.849250584353532,0.8520000000000006,0.8740000000000007,0.7930639465797357,723,740,33.63388133049011
13000,1000,0.8300792429792432,0.87555,0.8522085138749242,0.8490000000000006,0.8850000000000007,0.8066873330831524,739,763,33.05992794036865
14000,1000,0.8581902597402606,0.8764696969696969,0.8672336661572675,0.8710000000000007,0.8890000000000007,0.8292883027324203,732,743,37.92528223991394
15000,1000,0.8571976190476194,0.8539833333333339,0.8555874573301279,0.8730000000000007,0.8650000000000007,0.8143574314574318,747,740,33.253150939941406
16000,1000,0.8307499999999997,0.8499393162393166,0.8402351108481385,0.8530000000000006,0.8640000000000007,0.7902561221458267,716,725,36.36254358291626
17000,1000,0.8509105339105342,0.8741888888888891,0.8623926532605295,0.8690000000000007,0.8860000000000007,0.8189729649435533,734,748,39.844398975372314
18000,1000,0.8576173202614377,0.8314222222222223,0.844316643030789,0.8740000000000007,0.8470000000000006,0.8039765167199944,737,707,34.96239924430847
19000,1000,0.8215468253968251,0.8489773504273507,0.8350368790482058,0.8420000000000006,0.8640000000000007,0.7923421826264552,712,729,36.24817633628845
20000,1000,0.8660778998779005,0.8776333333333333,0.871817328143686,0.8800000000000007,0.8860000000000007,0.8323632253195724,748,751,40.92941164970398
21000,1000,0.8732554334554331,0.8665666666666666,0.8698981925392517,0.8880000000000007,0.8780000000000007,0.8331308080808081,776,765,39.69353723526001
22000,1000,0.8585079365079369,0.8396500000000005,0.8489742601577157,0.8750000000000007,0.8500000000000006,0.8003655530743756,765,735,34.94947695732117
23000,1000,0.8832145909645903,0.8520000000000001,0.8673265375016511,0.8990000000000007,0.8630000000000007,0.8292464612511677,766,729,33.97801494598389
24000,1000,0.8817761904761906,0.856666666666667,0.8690400915250742,0.8940000000000007,0.8660000000000007,0.8318404040404042,762,734,35.36190342903137
25000,1000,0.8397534798534798,0.8628128205128208,0.8511269937998338,0.8550000000000006,0.8750000000000007,0.8109145410145401,729,745,37.57528853416443
26000,1000,0.8642238095238097,0.8710000000000003,0.8675986739737156,0.8810000000000007,0.8780000000000007,0.8258177701383583,768,763,34.54397249221802
27000,1000,0.8696748917748912,0.8605299145299145,0.8650782353173274,0.8860000000000007,0.8710000000000007,0.8260684704184704,762,744,37.307464599609375
