after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.9963333333333333,0.7972040404040407,0.8857144217379046,0.9970000000000008,0.8050000000000006,0.8543708347208342,948,756,36.89676094055176
2000,1000,0.9956666666666667,0.7842500000000002,0.8774024064797044,0.9960000000000008,0.7910000000000006,0.8430042735042728,951,748,41.087820053100586
3000,1000,0.9976666666666667,0.8076190476190485,0.8926394274309133,0.9980000000000008,0.8150000000000006,0.8649771062271061,945,762,38.818235874176025
4000,1000,0.995,0.802855555555556,0.8886601321327263,0.9950000000000008,0.8080000000000006,0.8562982928835864,952,765,37.55948495864868
5000,1000,0.996,0.7905238095238101,0.8814455313591175,0.9960000000000008,0.7940000000000006,0.8442702686202682,947,746,41.561527967453
6000,1000,0.995,0.775833333333334,0.8718541176470593,0.9950000000000008,0.7810000000000006,0.8354002506265659,944,733,47.64708399772644
7000,1000,0.997,0.8101269841269848,0.8939013254398375,0.9970000000000008,0.8160000000000006,0.8645235209235205,954,774,43.65350294113159
8000,1000,0.9936666666666666,0.7873888888888889,0.8785824677417676,0.9940000000000008,0.7920000000000006,0.8399703463203457,954,752,46.74839782714844
9000,1000,0.9952857142857146,0.7852809523809532,0.8778990736343592,0.9960000000000008,0.7930000000000006,0.8423673881673878,951,750,53.6807758808136
10000,1000,0.998,0.7706222222222231,0.8696950294014179,0.9980000000000008,0.7750000000000006,0.8311037296037291,962,739,50.06908702850342
11000,1000,0.9966666666666667,0.8236666666666673,0.9019459195507542,0.9970000000000008,0.8290000000000006,0.8744976190476186,956,788,55.200422048568726
12000,1000,0.999,0.8044047619047621,0.8912035435617814,0.9990000000000008,0.8080000000000006,0.8559269119769121,954,764,57.80864715576172
13000,1000,0.998,0.8155222222222221,0.8975805951585925,0.9980000000000008,0.8200000000000006,0.8647219336219338,957,780,55.27181792259216
14000,1000,0.9966666666666667,0.7921619047619056,0.8827244574351226,0.9970000000000008,0.7970000000000006,0.8483769119769115,953,755,59.16701793670654
15000,1000,0.996,0.7875427350427351,0.8795893125417816,0.9960000000000008,0.7950000000000006,0.8481846320346315,950,749,65.49017786979675
16000,1000,0.9926333333333333,0.8000183261183261,0.8859778793003171,0.9940000000000008,0.8070000000000006,0.8542986124986119,945,759,53.972440004348755
17000,1000,0.9945,0.7988303030303028,0.8859904224238297,0.9950000000000008,0.8050000000000006,0.85088613053613,953,764,56.290590047836304
18000,1000,0.996,0.7919371794871798,0.882323428159224,0.9960000000000008,0.7990000000000006,0.8507888167388165,958,761,57.038143157958984
19000,1000,0.9930000000000002,0.7737047619047623,0.8697421834569609,0.9930000000000008,0.7790000000000006,0.8329665945165939,953,740,53.6193528175354
20000,1000,0.9966666666666667,0.8023000000000006,0.888983305230781,0.9970000000000008,0.8080000000000006,0.8553373482726422,958,770,61.301718950271606
21000,1000,0.9941666666666666,0.7815190476190486,0.8751100267993949,0.9950000000000008,0.7880000000000006,0.8388333333333332,943,736,54.06354212760925
22000,1000,0.9946666666666666,0.7906388888888891,0.880994455768024,0.9950000000000008,0.7950000000000006,0.8477846320346315,952,753,61.66182494163513
