after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,1.0,0.4026241619547902,0.5741012779840701,1.0000000000000007,0.4180000000000003,0.5357333902880974,950,370,44.31850981712341
2000,2000,0.999,0.3249288927887726,0.4903646497391957,0.9989999999999492,0.34350000000000025,0.45309996693080057,1892,588,44.93924808502197
3000,3000,0.9983333333333333,0.3022809725328762,0.464053285514193,0.9983333333332938,0.3203333333333342,0.42669788793536456,2827,813,49.750288009643555
4000,4000,0.9974,0.3131654928368476,0.47666639212261996,0.9977499999999232,0.3329999999999937,0.44095455878402817,3730,1099,61.79999303817749
5000,5000,0.9928927272727273,0.31864707753982063,0.4824594186086723,0.9941999999999312,0.3411999999999975,0.45054797920759954,4558,1343,75.76048183441162
6000,6000,0.9899346883468838,0.3264326554886468,0.4909678299004869,0.9916666666665981,0.3516666666666636,0.4618776789533412,5363,1588,81.6704330444336
7000,7000,0.9873653061224483,0.3223562812739642,0.48603216348182116,0.989285714285665,0.3505714285714343,0.4599388594599608,6156,1766,84.60243201255798
8000,8000,0.9857614597583227,0.3230797739765322,0.4866588573232756,0.9882500000000896,0.3537499999999841,0.46417281384781256,6931,1982,93.78097009658813
9000,9000,0.978231112657083,0.33210115036542603,0.49586152612512946,0.9822222222220763,0.364000000000012,0.4710979576820513,7649,2252,127.38062000274658
10000,10000,0.9727747474231208,0.33050245679180895,0.49337845070656516,0.9772999999999183,0.36489999999998685,0.47217976302140385,8378,2478,132.76288485527039
11000,11000,0.9688059626772114,0.3363894527246852,0.4993828567518356,0.973818181818366,0.37218181818180684,0.4783026343800591,9151,2774,164.8440010547638
12000,12000,0.969140724388491,0.33007938800362446,0.4924390780967158,0.9740833333332504,0.36749999999998534,0.47602888350001205,9958,2959,121.92818093299866
13000,13000,0.9704965661021973,0.32318624484509956,0.4848965112305428,0.9751538461539291,0.36230769230770626,0.4722172870706003,10728,3105,113.40782713890076
14000,14000,0.9693427297479585,0.32969919228641387,0.4920418804438756,0.9742857142858846,0.3681428571428576,0.47690787225872394,11576,3453,164.74383902549744
15000,15000,0.9651765098075494,0.3356913858383871,0.49813119570465425,0.9705333333332545,0.3741999999999889,0.48130409285157466,12335,3744,146.0890920162201
15291,15291,0.964333756425739,0.338328216813774,0.5009147836157197,0.9697861487149865,0.37701916159830273,0.4837492771356869,12534,3825,43.14334797859192
15292,15292,0.9643360887722977,0.3383060922900483,0.5008908487529024,0.9697881245097382,0.3769945069317404,0.4837721377200532,12535,3825,0.15568184852600098
15293,15293,0.9643384208138348,0.33828397065974103,0.5008669161346376,0.9697901000454823,0.37696985548944634,0.48376230061783354,12536,3825,0.1680290699005127
