n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9062213122652683,0.6746819944202181,0.7734960130194426,0.923076923076921,0.7292707292707292,0.7760078257674653,551,370
2001,0.8777279526329262,0.6009571790919901,0.7134404791223654,0.9000499750124876,0.6681659170414752,0.7087048818258491,968,588
3001,0.8650460708115586,0.5796334866897567,0.6941465566786376,0.8900366544485266,0.651782739086977,0.6933821372659426,1372,813
4001,0.8552898170936367,0.5799376508759185,0.6912002151757861,0.8830292426893134,0.6495876030992219,0.6877802465015863,1853,1099
5001,0.8435448007395576,0.5824327115984965,0.6890825155356031,0.8752249550089752,0.6486702659468041,0.677331924474229,2301,1343
6001,0.824925280235974,0.5964696165151092,0.6923380218694253,0.8595234127645607,0.6620563239460192,0.6728009676961679,2641,1588
7001,0.8234101373988344,0.5937909779739816,0.6899987665210426,0.8571632623911141,0.6590487073275321,0.6682592567981331,3000,1766
8001,0.8207496947335277,0.5947551460790773,0.689711671074704,0.8556430446194319,0.6607924009498948,0.6695497494463885,3367,1982
9001,0.8062298966197132,0.6024832977120276,0.6896223429779049,0.8434618375736334,0.6677035884901773,0.6642110058089667,3702,2252
10001,0.794762522698249,0.6093154954384782,0.689792324954213,0.8345165483451996,0.6736326367363366,0.660490929843341,4035,2478
11001,0.7841139998299554,0.611753028328827,0.6872919902459931,0.8242887010272181,0.6761203526952303,0.6552775018706015,4442,2775
12001,0.7805150826716135,0.6112905082068947,0.6856150954937864,0.8205149570868944,0.6754437130239183,0.6542822440429168,4771,2959
13001,0.7797939247861563,0.611672677626408,0.6855768397800637,0.8210137681716327,0.6762556726405508,0.6563159307754649,5049,3105
14001,0.7794233617946944,0.6101572796442328,0.6844810929883912,0.8202271266338284,0.6750232126276652,0.6545631915863697,5575,3454
15001,0.774435263678136,0.6142136322777857,0.6850813011885348,0.8146790213985732,0.6781547896806878,0.6520183408371512,5977,3744
15293,0.7732847556673061,0.6162556946056167,0.6858974621977961,0.8135748381611706,0.6797881383639387,0.651606921389237,6095,3825
