n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9088853149292709,0.6705637898495249,0.7717445018944216,0.925074925074923,0.7252747252747254,0.7737469680444228,557,370
2001,0.8757148258236831,0.6008144925197051,0.7126741773872127,0.8985507246376752,0.6701649175412253,0.710539291555514,972,588
3001,0.8637283282586494,0.5793259069987221,0.6935015814976466,0.8893702099300329,0.6534488503832115,0.6956880835069837,1381,813
4001,0.8544668093456808,0.5792163419126701,0.6904191336287956,0.88227943014245,0.649837540614843,0.6881603037449161,1869,1099
5001,0.8434256876106694,0.5814234276506003,0.6883359774824146,0.8748250349929775,0.6488702259548021,0.6778827510681323,2321,1343
6001,0.8263100682635522,0.5941117511661514,0.6912320198789746,0.8611898016997385,0.6610564905849129,0.6744539915145092,2668,1588
7001,0.8245610172744153,0.5916412903145156,0.6889472522239205,0.8587344665048122,0.6583345236394879,0.6697918088652876,3023,1766
8001,0.8205750944291617,0.5927664985019583,0.688311202211104,0.8557680289963849,0.6604174478190361,0.6704381876052209,3385,1982
9001,0.8043814745575218,0.6015396037856057,0.6883278456398828,0.8421286523719897,0.6680368847905882,0.6639424164743886,3715,2252
10001,0.7928840977442408,0.6059515218503672,0.6869274973399883,0.8340165983401999,0.6720327967203381,0.6575630039619847,4057,2478
11001,0.7833565156637093,0.6084565861497718,0.684917293331811,0.8249250068176006,0.6743932369784776,0.6532051826336793,4469,2775
12001,0.7803427990023531,0.6078689769876054,0.6833916656425715,0.8215148737605055,0.6734438796766973,0.6517915926303327,4802,2959
13001,0.779972840530104,0.6078571019239039,0.6832422560153779,0.8222444427351291,0.6739481578339974,0.6537976801589573,5089,3105
14001,0.7796492113965899,0.6058052157061138,0.6818204185509452,0.8215127490893676,0.67188057995857,0.6517807511251803,5622,3454
15001,0.7743041042537328,0.6102868082746611,0.6825807913993375,0.8155456302913137,0.6753549763349108,0.6492942858958035,6018,3744
15293,0.7738744878336501,0.6121472726874405,0.6835753530329227,0.8150787942194971,0.6767802262472845,0.6495869026006448,6133,3825
