n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9875124875124875,0.4524787763857007,0.6205988233645868,0.9900099900099811,0.49450549450549736,0.6176832417949614,852,370
2001,0.9877909530083444,0.36678586043680367,0.5349386628129038,0.9910044977511152,0.4067966016991475,0.520864019369965,1733,588
3001,0.9901931679339206,0.3295470785907086,0.49451438128436687,0.9923358880373363,0.3625458180606508,0.4729644592425208,2670,813
4001,0.9907280755568679,0.3282301670670493,0.493096492745858,0.9927518120469524,0.35766058485378655,0.4695068273429971,3600,1099
5001,0.9888628334939076,0.3227824280230722,0.48669797504209783,0.9910017996400077,0.35292941411717393,0.4669448735220889,4478,1343
6001,0.987513697212081,0.3182335009290563,0.48134882698056297,0.9898350274954619,0.346608898516921,0.46075626845689677,5372,1588
7001,0.9855834447892733,0.3106289501793515,0.4723774467169036,0.9881445507785585,0.3408084559348675,0.4538632754513188,6212,1766
8001,0.9838295916473656,0.31584672220270593,0.4781796027463704,0.9868766404199162,0.3510811148606545,0.46674254056531417,6937,1982
9001,0.9770874290649876,0.3241222309983262,0.48677129767627597,0.9811132096434716,0.36195978224642394,0.47524257808004156,7661,2252
10001,0.9758838298284359,0.32556385279235023,0.48824475045651833,0.9801019898011132,0.3645635436456376,0.4782733752731983,8462,2478
11001,0.9737522080328923,0.3312176391761129,0.49430093450354795,0.9783656031270702,0.37014816834834646,0.48232700077508855,9277,2775
12001,0.9748189324909432,0.322275224342746,0.48440583670342735,0.9792517290224724,0.3601366552787358,0.4735088673697681,10174,2959
13001,0.975913196167161,0.31261999001236246,0.4735461638257011,0.9800784555032475,0.3498192446734817,0.4627901387956619,11059,3105
14001,0.9761237944454705,0.3200461987281602,0.4820428054123794,0.980287122348534,0.3566888079422804,0.46900793884115816,11922,3454
15001,0.9754705056699442,0.3232913594757116,0.48563357820970265,0.9796680221318576,0.35964269048730074,0.4731546332780584,12780,3744
15293,0.9750679967133103,0.3255101569402409,0.48808222058157635,0.9794023409399932,0.36193029490617257,0.4754035021066786,12999,3825
