n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9068873129312689,0.6746819944202181,0.7737385116906312,0.9240759240759221,0.7292707292707292,0.7766738264334659,551,370
2001,0.8781325122578757,0.6010006356245934,0.7136047201499668,0.9005497251374251,0.6681659170414752,0.7093335357528538,968,588
3001,0.8662347315474291,0.5767871492425868,0.692481615193005,0.8927024325225019,0.6507830723092363,0.6945182772656137,1371,813
4001,0.8565886924992802,0.577436144916003,0.6898419880466603,0.8855286178455244,0.6485878530367376,0.6887780784965548,1853,1099
5001,0.8450820418180914,0.5802397784493356,0.6880554408744535,0.8776244751049559,0.647670465906812,0.6783066263496083,2304,1343
6001,0.8270222025433859,0.594913834739729,0.6920240250328804,0.8623562739543624,0.6613897683719483,0.6743112287430006,2644,1588
7001,0.8255082547625958,0.5925301782769443,0.68988053069212,0.8598771604056835,0.6584773603770963,0.6698118781180535,3003,1766
8001,0.8225215187260471,0.5938725280022853,0.6897415797396484,0.8578927634045839,0.6604174478190361,0.6706051528146613,3370,1982
9001,0.8078048731516705,0.6016586766438673,0.6896564455851384,0.8454616153760999,0.6673702921897662,0.6650824959044616,3706,2252
10001,0.7960627728027142,0.6088533002345476,0.6899849118630482,0.8363163683631981,0.6735326467353367,0.6614214180499696,4038,2478
11001,0.7853637351708344,0.6114722823308172,0.6875941765357546,0.8259249159167736,0.6762112535224278,0.6560648450852093,4446,2775
12001,0.7816887420778396,0.6109220539066332,0.6858354009646939,0.8220148320973103,0.6754437130239184,0.6549286694724007,4776,2959
13001,0.7807233925675174,0.6114094809448115,0.6857702928986266,0.8222444427351281,0.6763325898007694,0.6568636828385676,5053,3105
14001,0.7802913171874809,0.6100081126758657,0.6847216124970796,0.8213699021498632,0.6751660595671692,0.6551294296504189,5578,3454
15001,0.7752442513398652,0.6140744091110563,0.6853109644460692,0.8157456169588692,0.6782881141257248,0.6525405693823407,5980,3744
15293,0.774078228159579,0.616119129724684,0.6861247456236501,0.8146210684626153,0.6799189171516193,0.6521301814748536,6098,3825
