n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9088853149292709,0.6705637898495249,0.7717445018944216,0.925074925074923,0.7252747252747254,0.7737469680444228,557,370
2001,0.8760542537669562,0.6033730099859861,0.714583954151959,0.8985507246376752,0.6721639180409754,0.7112143386462078,972,588
3001,0.8641985750192636,0.5811685555258075,0.6949722695603323,0.8897034321892798,0.6547817394201992,0.6953553922576596,1382,813
4001,0.855044957636837,0.5805123319027902,0.691528155450575,0.882779305173692,0.6505873531617062,0.6882602263994324,1870,1099
5001,0.8433927729006386,0.5823003034655317,0.6889391212482028,0.874825034992977,0.649270145970799,0.6773300340994927,2322,1343
6001,0.8249806855031144,0.5952054078447471,0.6915051029987043,0.8596900516580787,0.6617230461589839,0.6726471075201572,2669,1588
7001,0.8229946631452538,0.5925787326410763,0.6890340492533485,0.8568775889158958,0.6589058705899231,0.6676501900545297,3025,1766
8001,0.8193272552554477,0.5937586287017145,0.6885393634760305,0.8542682164729509,0.6610423697038007,0.6686239469677712,3386,1982
9001,0.8032845476751007,0.6020573524746927,0.6882643547531793,0.840684368403542,0.6683701810909997,0.662436823110754,3715,2252
10001,0.792060149629585,0.6052553800717727,0.6861709566860957,0.8326167383262014,0.671032896710339,0.6555749952812122,4058,2478
11001,0.7827136651789619,0.6075831043979987,0.6841181090982091,0.8238341968912304,0.6732115262249098,0.6515663887746549,4471,2775
12001,0.7798336313471183,0.6072141004980416,0.6827825259721095,0.8205982834763628,0.6724439630030867,0.6503455953022007,4804,2959
13001,0.7794024196992624,0.6072525966742107,0.6826415188030676,0.8213214368125079,0.6730251519113764,0.6524425587522527,5090,3105
14001,0.7790955907682999,0.605198776758994,0.6812246146078526,0.8205842439825892,0.6709520748517918,0.6504763091940261,5623,3454
15001,0.7737556389186336,0.6096772090577773,0.6819863777539473,0.8146123591760547,0.6744883674421703,0.6480817210035484,6022,3744
15293,0.7733366366256467,0.6116473970677143,0.6830538538235641,0.8141633427057331,0.6759955535212009,0.6484412477205989,6136,3825
