n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9897602397602397,0.4437924043041035,0.6128105281749076,0.9920079920079827,0.48351648351648624,0.607226820961841,864,370
2001,0.990114791089304,0.3599622827531694,0.5279757538194717,0.9930034982508652,0.39680159920039687,0.5105965280457886,1757,588
3001,0.9924090959579126,0.3224518554420808,0.4867498027202096,0.994335221592818,0.3528823725424901,0.4631503978097283,2708,813
4001,0.9926400975513693,0.3215360289793207,0.48573330275735954,0.9945013746562995,0.34866283429142775,0.4604220082445277,3647,1099
5001,0.9908457702398916,0.31684479500520196,0.48015078382796,0.9928014397119918,0.3447310537892401,0.458745720786207,4532,1343
6001,0.9903326718274224,0.3114537251612464,0.47387620657742313,0.9923346108982288,0.33711048158640955,0.45129378853520924,5453,1588
7001,0.9883330519882445,0.3037145910413761,0.4646441179110657,0.9905727753179137,0.33109555777746175,0.4441854921556096,6309,1766
8001,0.9866914362977358,0.3085157077056539,0.47005578708529333,0.9893763279589699,0.34095738032747014,0.45668535365400414,7052,1982
9001,0.9802809895688468,0.3163519202787205,0.4783370391227941,0.9838906788135654,0.35096100433285843,0.4642307147038438,7793,2252
10001,0.97927301471947,0.31308480546972667,0.4744746331481378,0.9831016898311123,0.3484651534846531,0.4630923363905333,8617,2478
11001,0.9781111397399873,0.31829669424382406,0.4802956819932093,0.9821834378693679,0.35369511862559383,0.4673788946495548,9460,2775
12001,0.9790553708376346,0.30981147936715875,0.4706810370262431,0.9830014165485037,0.3438880093325633,0.4583079385032743,10380,2959
13001,0.980070264242939,0.3002550494474217,0.45968168012552324,0.9837704791937238,0.3337435581878265,0.4474357379618473,11290,3105
14001,0.9804030900758948,0.30803882819304834,0.46878670235996434,0.9840725662454081,0.34118991500606277,0.4543469875987478,12171,3454
15001,0.9797645139441642,0.3114737605874568,0.4726795103080835,0.9834011065928935,0.34431037930804603,0.4586709224787633,13044,3744
15293,0.9793307144794053,0.31355637846276446,0.47502275152382434,0.9830641469950384,0.34636761917217646,0.4608014469939277,13270,3825
