n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9476778888150122,0.5744864941355576,0.7153342359250336,0.956043956043951,0.6263736263736274,0.7123955777128638,699,370
2001,0.9294554853775248,0.5091183671266597,0.6578777421939078,0.9445277361319265,0.5742128935532198,0.6539123692587548,1295,588
3001,0.9274485142911365,0.4669272389665902,0.6211395644966934,0.9426857714095422,0.5314895034988386,0.6165202200962852,1924,813
4001,0.9218846936819355,0.47433109994526945,0.6263767861282556,0.9390152461884291,0.5366158460384887,0.6181386422976376,2555,1099
5001,0.9154646379363218,0.4666054471178007,0.618146346302091,0.9326134773044988,0.5276944611077721,0.6113362287001396,3165,1343
6001,0.9093726699731537,0.46527425445594683,0.615587440709682,0.9265122479587051,0.5272454590901593,0.6088139814205589,3747,1588
7001,0.9072385413949495,0.4566271910798386,0.6074935045766373,0.9248678760177655,0.5202113983716632,0.6015420765715206,4317,1766
8001,0.902427486334348,0.46320663865009487,0.6121850573632226,0.9218847644044462,0.528558930133749,0.6085111418808806,4803,1982
9001,0.8948870296340911,0.47036433760105567,0.6166233633210741,0.9152316409288418,0.5368292411954313,0.6132484045541874,5297,2252
10001,0.8878957948665764,0.4718006516886848,0.6161813774110912,0.9093090690931482,0.539546045395464,0.6138212860060195,5796,2478
11001,0.8820774703166236,0.47439798381669146,0.6169750764206718,0.9043723297882579,0.5420416325788723,0.6124087259292751,6372,2775
12001,0.8829544482194456,0.46786156389406924,0.6116309627464798,0.9050079160069607,0.5367052745604618,0.6114103979113792,6934,2959
13001,0.883212842717462,0.45904718743364853,0.6041100267421129,0.9055457272516652,0.5290362279824553,0.6067708172615692,7468,3105
14001,0.8837674189252335,0.46450811534435793,0.6089514015992281,0.9060781372759558,0.5335333190486296,0.6097972563698182,8119,3454
15001,0.8848874629623463,0.46689733112769327,0.6112682974564602,0.9067395506966199,0.5349643357109525,0.6119985401579314,8751,3744
15293,0.8846331399775011,0.4691322343035709,0.6131194214019886,0.9067547243835482,0.5365199764598187,0.612930431110508,8909,3825
