n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.8635176046547277,0.6241241583850808,0.7245591131490855,0.8861138861138832,0.6783216783216781,0.7201875308066049,580,370
2001,0.8406801393915047,0.5691782114989768,0.6787870822332521,0.8735632183907984,0.6381809095452233,0.6756081231633921,1002,588
3001,0.8311549415776394,0.5382299898229226,0.6533626966218581,0.8667110963012427,0.6114628457180995,0.6512422227824096,1456,813
4001,0.7962684028227427,0.5551085108804095,0.6541703693025338,0.8355411147213068,0.6285928517870502,0.6416126973537201,1861,1099
5001,0.777676844906946,0.551176030003753,0.6451230893870925,0.8190361927614258,0.622475504899013,0.6318862190045254,2265,1343
6001,0.7766517084155885,0.5483571365220777,0.6428372286402164,0.8171971338110522,0.6212297950341703,0.6315664261065432,2681,1588
7001,0.782196414743016,0.5399819340471069,0.6389031150360976,0.8220254249393197,0.6127696043422437,0.627418127222194,3097,1766
8001,0.7809136149078749,0.5405029447109433,0.6388388360205368,0.8218972628421548,0.613923259592564,0.6295769949944366,3489,1982
9001,0.7790740933759125,0.5435172908753375,0.6403190670451179,0.820019997778058,0.6168203532940867,0.631207176233059,3909,2252
10001,0.7755636017723634,0.5415903741581288,0.6377960192096572,0.8168183181682209,0.6148385161483941,0.62826308973673,4318,2478
11001,0.7711892835965722,0.542417565412846,0.636882510161045,0.8131078992819246,0.6150349968184895,0.6250737162241903,4782,2775
12001,0.772309471807552,0.536558095145532,0.6332021810588049,0.8139321723189559,0.6103658028497673,0.6254575103581184,5181,2959
13001,0.7716625329083617,0.5298757286013512,0.6283107595851972,0.8139373894315345,0.6050303822782724,0.6229998451605209,5544,3105
14001,0.7719447302246829,0.5347177688690314,0.6317967556614551,0.8140132847653919,0.6087422326976591,0.6248130714566087,6063,3454
15001,0.7737668969356443,0.5359379736448113,0.6332587930795942,0.8154123058462767,0.6088260782614491,0.6260379952918772,6579,3744
15293,0.7741472407825883,0.5380488600007892,0.634857915104551,0.8159288563394134,0.6104099914993663,0.6273046940370824,6708,3825
