n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.6738450115006618,0.7932481299476877,0.7286876070046663,0.7302697302697314,0.8331668331668336,0.6969480418339268,329,370
2001,0.6398698731856203,0.7158061088592963,0.6757112616399733,0.7111444277861034,0.7661169415292306,0.6275353641266788,551,588
3001,0.6090514602329583,0.7074161058139641,0.6545589475205514,0.6867710763079021,0.7600799733422257,0.603254131239232,748,813
4001,0.5788299861810198,0.7157481239537644,0.6400486358511254,0.6593351662084432,0.7680579855036187,0.5827486336276879,977,1099
5001,0.5633866606415905,0.7109707811964551,0.6286328169501422,0.6464707058588197,0.763247350529887,0.5690704329594053,1212,1343
6001,0.5476981203488758,0.7186991442701567,0.6216535386019256,0.6302282952841269,0.7715380769871815,0.5585749913372493,1378,1588
7001,0.5512793148880583,0.7097453840094871,0.6205555678390424,0.6324810741322747,0.7634623625196463,0.5565294995996878,1585,1766
8001,0.5506383019955792,0.7074398097970458,0.6192675192093814,0.6319210098737765,0.7621547306586872,0.5585819379269781,1778,1982
9001,0.5474873849475449,0.7128546069220134,0.6193222269974733,0.6297078102433157,0.7673591823130869,0.5596339200503515,1983,2252
10001,0.5396889647638582,0.7196355225249199,0.6168058416698001,0.6248375162483848,0.7730226977302436,0.555652777492372,2157,2478
11001,0.531205176475118,0.7257080713426023,0.6134073051999057,0.6153076993000782,0.7781110808108591,0.5492470274258432,2367,2775
12001,0.5314529512290911,0.7252869977704618,0.613421918766961,0.6146154487126093,0.7771852345637954,0.5506020448538704,2535,2959
13001,0.5354164704498414,0.7290645032234131,0.6174124422168099,0.6191831397584657,0.7807091762172017,0.5574301128838944,2672,3105
14001,0.530952776920707,0.7300991783319674,0.6148012927591271,0.6146703806870917,0.781372759088626,0.553138329143792,2951,3454
15001,0.5289027479009981,0.7336324276225374,0.6146683505399203,0.610825944937004,0.7837477501499898,0.5511252260840699,3186,3744
15293,0.5302858349053231,0.7350642685554686,0.6161048523944512,0.6113908324069695,0.7848035048714852,0.5519390751891282,3267,3825
