n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.8385271054102225,0.7087581680936094,0.7682008551423266,0.8681318681318666,0.7612387612387613,0.7663573957987467,481,370
2001,0.802986669538971,0.6437470738553275,0.714603251940138,0.8450774612693602,0.710644677661165,0.7071754134819174,819,588
3001,0.7829240644402177,0.6236607848120778,0.6942759787816634,0.8297234255248325,0.6981006331222988,0.6923618984306575,1135,813
4001,0.7597562880258732,0.6307982165046312,0.6892975570586654,0.8085478630342321,0.7030742314421358,0.6793625063435349,1490,1099
5001,0.7462768031083225,0.6349307098181599,0.6861156718072603,0.7980403919215989,0.703659268146364,0.6676244424725791,1831,1343
6001,0.7286919768752866,0.6456824490695009,0.6846804063931741,0.7818696883852843,0.7132144642559692,0.659265258034917,2092,1588
7001,0.7293940549221489,0.6435651458993853,0.6837968544050482,0.782031138408817,0.7108984430795678,0.6555725237280412,2379,1766
8001,0.7278760591044071,0.6467943553717713,0.6849440003673529,0.7810273715785645,0.7137857767779197,0.6561244228159463,2658,1982
9001,0.7144282353554575,0.655597530536835,0.683749749100192,0.769025663815152,0.7215864903899671,0.6503101481233379,2917,2252
10001,0.6974438597665088,0.6624500759424634,0.6794967250545999,0.7565243475652653,0.7270272972702875,0.6391523615297745,3139,2478
11001,0.6771779978754309,0.6706424219660422,0.6738943644298095,0.7374784110535665,0.7337514771384643,0.626807765127135,3384,2775
12001,0.6725076574828722,0.6741222919361516,0.6733140067210831,0.7328555953670501,0.7358553453878914,0.625370200230296,3590,2959
13001,0.670516975091013,0.6798445717510575,0.6751485583229173,0.7317129451580395,0.7414045073455748,0.6280433419416795,3756,3105
14001,0.6637149757795059,0.6832378630074317,0.6733349359225043,0.7252339118634421,0.7440897078780004,0.6234871489511993,4090,3454
15001,0.6559193379729578,0.6889737331903577,0.6720403348707554,0.716952203186454,0.7485500966602224,0.6182166354556157,4361,3744
15293,0.6550959280230071,0.6909113316458121,0.6725271304962931,0.7160138625514566,0.7500163473484367,0.6178551265802846,4447,3825
