n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.8388237784341684,0.7109618467678762,0.7696183174374399,0.8671328671328654,0.7622377622377623,0.7662153184467821,480,370
2001,0.8009303625535973,0.6506485970200739,0.7180101547618621,0.8415792103947977,0.7181409295352279,0.7108741801401893,816,588
3001,0.7800168163808454,0.6304742586184151,0.697318164906315,0.8263912029323633,0.7044318560479905,0.6950334729456099,1128,813
4001,0.7579684386361847,0.6365389044051313,0.6919668109468683,0.8065483629092636,0.7093226693326629,0.6825991053128255,1481,1099
5001,0.744254841412923,0.6399047005222488,0.6881463544884855,0.7958408318336163,0.7092581483703194,0.67040353138411,1822,1343
6001,0.7254817555425259,0.6497164466151415,0.6855119902798756,0.7788701883019644,0.7175470754874309,0.6608422934707264,2077,1588
7001,0.7256435723009909,0.647325467980189,0.6842507751381725,0.7784602199685936,0.7146121982574,0.6562173547543282,2359,1766
8001,0.7231766974831453,0.6506082881840601,0.6849758268039322,0.7765279340082607,0.7175353080865057,0.6565625051134028,2630,1982
9001,0.7087421196088354,0.6591796237500644,0.6830629983151013,0.7633596267081636,0.725141650927685,0.6495911917615891,2881,2252
10001,0.6916571771560079,0.6660645326690022,0.6786196480999829,0.7510248975102702,0.7308269173082836,0.6378887465596105,3102,2478
11001,0.6723545896326419,0.6736683306152059,0.6730108190072894,0.7332969730024798,0.7369330060903779,0.6262047244590655,3347,2775
12001,0.6671703926097264,0.6767649606267196,0.6719334280454733,0.7276060328305953,0.7388550954087229,0.6246444250863822,3548,2959
13001,0.6654875359997415,0.6818190111794493,0.6735542920021816,0.7269440812244973,0.7437889393123466,0.6272220506691425,3709,3105
14001,0.6593761739104009,0.6855625048710599,0.6722144118092728,0.7206628097993019,0.7467323762588306,0.6226151102171827,4040,3454
15001,0.6518609662253262,0.6914306037520613,0.6710629791969387,0.7126858209452701,0.7512165855609624,0.6178660348394609,4305,3744
15293,0.6512176097183394,0.6933176587065967,0.6716085164613622,0.711763551951837,0.7525665337082088,0.6176006851262157,4391,3825
