n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.6818940014538535,0.6839782609816333,0.6829345409746809,0.7232767232767233,0.7352647352647355,0.6502806156686474,411,370
2001,0.6572658711871499,0.642045618225989,0.6495665989928244,0.7171414292853534,0.7061469265367273,0.6205299803473154,661,588
3001,0.6348169922274862,0.6088003986009084,0.6215365606125605,0.6997667444185328,0.6774408530489899,0.589867924535676,939,813
4001,0.579074104842267,0.6272636500163469,0.6022063641303855,0.643589102724314,0.6950762309422605,0.5519709415942909,1147,1099
5001,0.5513568240867599,0.6232086903418655,0.5850850549061308,0.618676264747041,0.6908618276344655,0.5333329443328815,1376,1343
6001,0.5362626047076039,0.6305907150754204,0.5796139302815825,0.605899016830538,0.6988835194134417,0.5267662172373245,1581,1588
7001,0.5447452849365583,0.6216511197342991,0.5806628261107366,0.6151978288815958,0.6916154835023653,0.5301269362842652,1839,1766
8001,0.5483615913179992,0.6187888611225159,0.5814503929043183,0.6195475565554437,0.6894138232721049,0.5351486724787388,2073,1982
9001,0.5488272213318035,0.619924538895487,0.5822133898668848,0.6212643039662399,0.6905899344517369,0.5368971355501089,2348,2252
10001,0.5477472823364535,0.6171959853814335,0.5804015234560231,0.6207379262073925,0.6874312568743235,0.53718785890441,2597,2478
11001,0.5474910273458834,0.6185031050048748,0.5808346559909985,0.6200345423143555,0.6879374602309091,0.5355363050430886,2909,2775
12001,0.5460297553113304,0.6136670807124482,0.5778760026161976,0.6180318306807786,0.6841929839180105,0.5359375286601219,3151,2959
13001,0.5432082317132707,0.608629360885479,0.5740609284151923,0.618260133835843,0.6805630336127831,0.5334566065077269,3360,3105
