n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,1.0,0.37194856425625633,0.5422194008532564,0.9999999999999872,0.3736263736263752,0.49012224512606706,997,370
2001,0.9991432855001072,0.30380643011827424,0.4659368678711717,0.9995002498750525,0.3093453273363294,0.41595505963660195,1963,588
3001,0.9990479364021516,0.281831386543372,0.4396402691426504,0.9993335554815225,0.2905698100633159,0.39520943016587873,2934,813
4001,0.9973697051927496,0.2895387608298745,0.44879211871730623,0.9980004998749918,0.29967508122969494,0.40695460665273686,3884,1099
5001,0.9959293855514616,0.28887033180365956,0.44784326797566726,0.9968006398719544,0.30173965206958675,0.41169357975944826,4802,1343
6001,0.9960522452607107,0.28530189697943303,0.4435551198464004,0.9968338610232097,0.29711714714214976,0.40790882333094475,5766,1588
7001,0.9953544051530054,0.2760031664787383,0.43216947571751285,0.9962862448222832,0.28853020997000944,0.39898624267882327,6697,1766
8001,0.9952017902524092,0.27534081178415176,0.43134274817375123,0.996250468691364,0.2914635670541238,0.40426818776969414,7580,1982
9001,0.9937827013929674,0.2810975829266111,0.4382370937125821,0.9950005554939477,0.2985223864015119,0.41083949708654327,8454,2252
10001,0.993931083082168,0.27805829872681337,0.43454888848282874,0.9951004899511097,0.29577042295770106,0.409054791275977,9356,2478
11001,0.9926468313978539,0.28350957347933675,0.441050765736357,0.994182347059448,0.30188164712300214,0.41486007269787706,10262,2775
12001,0.9929925031499894,0.27673787928203075,0.43284565489933163,0.9945004582949991,0.29447546037830336,0.40788738027891586,11225,2959
13001,0.9931212750534333,0.2689586888399663,0.4232831573895551,0.9945388816242777,0.28659333897391437,0.3989432707817276,12164,3105
14001,0.9925296267271831,0.2779914455005255,0.43433320653580776,0.9940718520107364,0.29569316477394275,0.4072188806836171,13072,3454
15001,0.9920454616674859,0.28131963372852614,0.4383375465958571,0.9936004266382238,0.2989800679954669,0.4121875148401009,14001,3744
15293,0.9918268033614915,0.2824464925291845,0.43968276304507986,0.9933956712217678,0.3001373177270702,0.4138203384342966,14256,3825
