n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7979979316219159,0.7387954679378773,0.7672563605165761,0.8341658341658332,0.7842157842157845,0.7497062466731778,435,370
2001,0.7340865488332252,0.6763190629970365,0.7040197836725066,0.7881059470264822,0.7386306846576666,0.6866774976881328,702,588
3001,0.7002170314305974,0.674619052855749,0.6871797386411748,0.7600799733422258,0.7397534155281638,0.6594334888940709,967,813
4001,0.6621644712235127,0.6850033631944206,0.6733903203262576,0.7288177955511052,0.7473131717070687,0.634801367427096,1235,1099
5001,0.6402990445178265,0.6805270529734204,0.6598004424883058,0.7094581083783141,0.741651669666059,0.6148413160020134,1501,1343
6001,0.6123012114670074,0.6902955907436648,0.6489634025898986,0.6830528245292568,0.7508748541909811,0.5961757174642849,1673,1588
7001,0.6097725569650423,0.6827808172373595,0.644214796979534,0.6810455649193087,0.7431795457791806,0.591822132455207,1898,1766
8001,0.6060770669325267,0.682772538742564,0.6421428471422247,0.6780402449693899,0.743532058492707,0.5910963958240104,2114,1982
9001,0.5993035218438937,0.687672184000932,0.6404539881742439,0.6715920453283084,0.7473614042884236,0.5877699739599405,2340,2252
10001,0.5889036715010659,0.6937906588152942,0.6370588168557665,0.6639336066393481,0.7521247875212641,0.5795582675207216,2537,2478
11001,0.5789133986165567,0.7002486412549785,0.6338263771902701,0.654122352513428,0.7576583946914147,0.5740573886339817,2771,2775
12001,0.577401596895115,0.7009222171454571,0.6331941923225511,0.6520289975835355,0.758186817765195,0.5758263181988282,2957,2959
13001,0.5794749550591327,0.7053590194097527,0.6362501213310167,0.6557187908622225,0.7625567264056494,0.5821173756695035,3113,3105
14001,0.5801107161719761,0.7057657549484858,0.6367987699410459,0.6560245696735953,0.7628026569530647,0.5818403388945729,3458,3454
15001,0.5776135608783894,0.709536707179914,0.6368145727481649,0.6522898473435103,0.7654823011799211,0.5800968971485128,3719,3744
15293,0.5784313687904349,0.7112516458975531,0.6380021422403606,0.6527169293140409,0.7668868109592376,0.5808297053240619,3802,3825
