n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9387531882037373,0.5356096290647029,0.6820644701941967,0.9470529470529411,0.5764235764235772,0.6532728035689722,737,370
2001,0.9202318870804325,0.482782759900475,0.6333106944380449,0.9355322338830508,0.5392303848075929,0.6159158662239368,1289,588
3001,0.911597032422248,0.46541563961917715,0.6162202055711813,0.9290236587804183,0.5311562812395917,0.6127877716972938,1825,813
4001,0.9086456911005186,0.4680195155440411,0.6178174825621836,0.9267683079229977,0.5326168457885513,0.6145488207867273,2464,1099
5001,0.9084943063488278,0.4640068869615297,0.6142765004006393,0.9270145970805462,0.5258948210357864,0.6061670773114058,3126,1343
6001,0.9042944625946787,0.4596170759595896,0.6094664719161731,0.923346108981867,0.520913181136486,0.5987041049763099,3768,1588
7001,0.9081168477590237,0.4371172324947798,0.5901627517486251,0.9258677331810329,0.49792886730467156,0.5782559572407756,4511,1766
8001,0.9127399651815207,0.4216904525541603,0.5768659405033171,0.9297587801524703,0.47919010123736144,0.5628756802181909,5311,1982
9001,0.9079477693720434,0.4162341880898619,0.570796030685905,0.9248972336407779,0.47272525274970234,0.5531549610861394,6048,2252
10001,0.9078011362147675,0.4066572630350499,0.5616973890446342,0.9242075792421466,0.4622537746225415,0.5451913112976711,6774,2478
11001,0.9078309253622638,0.4033827339861394,0.5585715463821183,0.9236433051541442,0.4575947641123692,0.5413820831422523,7567,2775
12001,0.9094159048673051,0.39761725740296494,0.5533133639912979,0.9247562703107405,0.4522123156403748,0.5384492886309638,8257,2959
13001,0.9110490360152392,0.3915289877038293,0.5476863578600146,0.9266210291514843,0.44758095531112674,0.5345925973486453,8915,3105
14001,0.911422592461461,0.39340302505778857,0.5495851708706372,0.9267909435041168,0.44768230840652884,0.5334541449804735,9744,3454
15001,0.9082805188512004,0.3937126615748662,0.5493139993505717,0.9237384174388371,0.4467702153189786,0.5314329688325385,10508,3744
15293,0.9075170507253351,0.39485617474370827,0.5502857462921871,0.9229059046620428,0.447459622049311,0.5317715931256354,10714,3825
