n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9116082330368042,0.5734822583518001,0.7040529196644644,0.9240759240759198,0.6173826173826178,0.6745830104643935,678,370
2001,0.890485999670538,0.5226739756064428,0.6587136146117528,0.91154422788605,0.5797101449275328,0.6320171753043404,1173,588
3001,0.8846271354811743,0.5041089508392579,0.6422364357693463,0.9063645451516267,0.5691436187937408,0.6280962243678143,1657,813
4001,0.8833909768158636,0.5032806131232991,0.6412384239573028,0.9055236190952072,0.5683579105223675,0.6287252376239506,2260,1099
5001,0.8893938526315391,0.49382308245215,0.6350460331718346,0.9110177964406753,0.5566886622675404,0.6206881058044176,2916,1343
6001,0.8893490608741833,0.4834679885833675,0.626408015225693,0.911014830861552,0.5449091818030415,0.6092838563334146,3574,1588
7001,0.8967287459927155,0.4563219042598351,0.6048509254247831,0.9170118554492764,0.5163548064562221,0.5859297386678194,4342,1766
8001,0.9034743095481826,0.43732522386485256,0.5893679030056572,0.9222597175353007,0.4941882264717076,0.5684162357218804,5165,1982
9001,0.9031757199929689,0.4287475323650732,0.5814664779723194,0.9214531718698615,0.4840573269636789,0.5587260950560798,5940,2252
10001,0.9050625958975597,0.41557186525345935,0.5696028116977577,0.9224077592241464,0.4696530346965341,0.5470956510632135,6708,2478
11001,0.9067909670482602,0.4109759468744595,0.5656072744921271,0.9232797018453527,0.46350331788020843,0.5418746032376619,7534,2775
12001,0.9095231784523296,0.40147734950220165,0.5570599663534593,0.9253395550370114,0.45396216981919374,0.5355311085457057,8271,2959
13001,0.9122864972146189,0.3923994876113974,0.5487615536999131,0.9280055380354131,0.44511960618413693,0.5274098583679353,9006,3105
14001,0.9134962434686327,0.3940681909286677,0.5506112014277055,0.9288622241269328,0.4450396400256986,0.5267403263831473,9852,3454
15001,0.913237022114916,0.3933045019445502,0.5498183188609984,0.928271448570095,0.44297046863542416,0.5262549742053568,10657,3744
15293,0.9132522982138682,0.39418370822707743,0.5506796136612341,0.9281370561692611,0.4434054796312114,0.5268948709464878,10874,3825
