n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7756190302273246,0.7489819426563723,0.7620677913147686,0.817182817182817,0.7892107892107899,0.7411768433348328,411,370
2001,0.7295846428801163,0.6765151807981026,0.7020484296689791,0.7811094452773567,0.7361319340329789,0.6820226317870701,674,588
3001,0.701879510117438,0.6555484595937949,0.6779233107681062,0.762412529156954,0.7194268577141018,0.656388604686709,933,813
4001,0.6624717128610285,0.6678641182004394,0.6651569866980792,0.727568107973,0.7288177955511074,0.6322903176689932,1195,1099
5001,0.6390982310295757,0.6691876644657547,0.6537969323974931,0.7068586282743351,0.728054389122168,0.61377392635988,1450,1343
6001,0.6076701817472325,0.6773175016403975,0.6406063725643395,0.6780536577237235,0.7363772704549362,0.5930654516687902,1629,1588
7001,0.6039090201644154,0.6723891271279614,0.6363119147269785,0.6757606056277785,0.7318954435080777,0.5883773062411697,1860,1766
8001,0.5988451943004854,0.674240352776576,0.6343102331037241,0.6722909636295582,0.734283214598193,0.5864748135393412,2067,1982
9001,0.5864916687796671,0.679975483598462,0.6297833391984468,0.6611487612487627,0.7391400955449497,0.5781544271252036,2285,2252
10001,0.5718780417832847,0.6891198423084096,0.6250486395656514,0.6504349565043624,0.7468253174682681,0.5684819544805102,2470,2478
11001,0.5632542046802547,0.6943695952801379,0.6219770875137411,0.6417598400145621,0.7509317334787972,0.5625727565041351,2708,2775
12001,0.5601397753081252,0.6943288643382116,0.6200572924166479,0.6383634697108591,0.7507707691025809,0.5618071498875404,2885,2959
13001,0.5600394102134242,0.6989966074234744,0.6218497998133112,0.6397200215367882,0.7544035074224924,0.5654624498675891,3034,3105
14001,0.5601647253131716,0.6975742108950437,0.621363392644284,0.6402399828583668,0.753231912006279,0.5652750608588474,3367,3454
15001,0.5582500023129298,0.6999675874183396,0.6211277134962356,0.6381574561695885,0.7546830211319243,0.5650156361941342,3625,3744
15293,0.5587394558928004,0.7012199569214446,0.6219236162795724,0.6379389263061331,0.7557706140063845,0.5651538070128755,3711,3825
