n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7750170680869006,0.7474120839436567,0.7609643065204609,0.815184815184815,0.7872127872127879,0.7400241479359699,410,370
2001,0.7299833911968208,0.6788637806370861,0.7034961558038711,0.7821089455272318,0.7386306846576666,0.6835315079789677,669,588
3001,0.6966580725100615,0.6591857390300024,0.6774040821960741,0.7584138620459909,0.7237587470843116,0.655060341575353,922,813
4001,0.6571561678467661,0.668311282408089,0.6626867844874095,0.7235691077230629,0.7303174206448342,0.6296714955298219,1184,1099
5001,0.6328327030551348,0.6682625124003919,0.6500652174402078,0.7012597480503803,0.7284543091381649,0.609966976715909,1436,1343
6001,0.6041986666362483,0.6774323074470753,0.6387231662976796,0.6742209631728151,0.7375437427095604,0.5911584551897916,1617,1588
7001,0.6013671310220324,0.6727740435664709,0.6350696523661515,0.6726181974003826,0.7328953006713398,0.5874741939469116,1846,1766
8001,0.5956471124132884,0.6746380835061361,0.6326866244766571,0.6685414323209714,0.7351581052368635,0.5850091324872823,2050,1982
9001,0.5819422547378751,0.6803590598259663,0.6273140663618304,0.6565937118098113,0.7399177869125758,0.5752321185459746,2264,2252
10001,0.5675405165369469,0.689948294175399,0.6227866330488803,0.6459354064593666,0.7479252074792672,0.5658387796452743,2447,2478
11001,0.5591333117325911,0.6957374029234127,0.6200000584114973,0.6377602036178709,0.7523861467139575,0.5606127429409196,2683,2775
12001,0.5562817659503305,0.6953432391088109,0.6180873079869398,0.634863761353222,0.7518540121656591,0.5597701945452602,2860,2959
13001,0.556307016331077,0.6998133765248181,0.6198627037619646,0.63664333512805,0.7554034305053323,0.563550665083966,3011,3105
14001,0.5561926685036028,0.6985558218729849,0.6192980181225848,0.6367402328405105,0.7543746875223132,0.5633768439475335,3338,3454
15001,0.5539688168637711,0.7012748470656187,0.6189784636859412,0.6342910472635156,0.7560162655822943,0.5626888808761562,3590,3744
15293,0.5543706192418589,0.7024695614443529,0.6196945192567637,0.6340155626757144,0.7570784018831912,0.5628535165408025,3675,3825
