n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9388290453507845,0.5756783482876874,0.7137153062734536,0.9480519480519439,0.6273726273726286,0.710826882299216,686,370
2001,0.8999984695378382,0.5315829764774874,0.6683851157665613,0.9215392303848007,0.6036981509245339,0.6763886811017795,1167,588
3001,0.8920374386528946,0.5009634266738597,0.6416049596410027,0.9153615461512941,0.5711429523492223,0.6439789092332378,1699,813
4001,0.8685732243614859,0.5174796448576976,0.6485596237446412,0.8962759310172262,0.5883529117720546,0.6426786326412133,2199,1099
5001,0.8550781435385869,0.512540817993344,0.6409130956280104,0.8844231153768922,0.5814837032593414,0.6343705371187819,2704,1343
6001,0.8427714062934684,0.5110673403325244,0.6362839624676389,0.8733544409265387,0.5819030161639813,0.6272228744966403,3179,1588
7001,0.8433204959311075,0.5002563394549796,0.6279900236008824,0.8741608341665859,0.5716326239108741,0.6184674193997379,3691,1766
8001,0.8375818928358698,0.5010276711971963,0.626996424469188,0.869766279215103,0.572553430821161,0.6192562800012141,4123,1982
9001,0.8326686582914296,0.5051029339070902,0.6287820502815231,0.8649038995667601,0.5764915009443479,0.620845472287291,4590,2252
10001,0.8232811841407118,0.5018400556223731,0.6235738479535579,0.8571142885711911,0.5740425957404316,0.6166949092063019,5035,2478
11001,0.8170774054534878,0.5024241002832345,0.6222340459816623,0.8517407508408801,0.5733115171348228,0.6121609993530198,5562,2775
12001,0.8140746192147004,0.4961605963435824,0.6165484544172266,0.8492625614531863,0.5678693442213215,0.6103613333762427,5981,2959
13001,0.8095617951442955,0.49096965677328436,0.6112428517014413,0.8466271825243574,0.5645719560033735,0.607988160012457,6356,3105
14001,0.8103685457790414,0.4963917317410752,0.6156603513402444,0.847153774730407,0.5691736304549607,0.6121924664935479,6918,3454
15001,0.8124171939441192,0.497727805783731,0.6172791979617196,0.8484101059929335,0.5693620425304978,0.6138205939475875,7502,3744
15293,0.8128247416240793,0.5001034853643228,0.6192211850132582,0.8490158896225859,0.57111096580134,0.615115316502326,7647,3825
