n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9706617493178757,0.4294021714836194,0.5954074763880444,0.9730269730269632,0.44255744255744467,0.5319928501934751,901,370
2001,0.9750588991218672,0.340167783898118,0.5043748414878899,0.9775112443778017,0.35532233883058206,0.4462741558309045,1834,588
3001,0.9709271512670373,0.311000223259245,0.4711008857644463,0.9743418860380029,0.3265578140619832,0.4166773107152423,2753,813
4001,0.9659139976910528,0.3165819796552392,0.47686849856398694,0.970007498125432,0.33216695826043513,0.4218972221209807,3652,1099
5001,0.9631718261287799,0.3092876108885533,0.4682225685351689,0.9674065186961945,0.32393521295740696,0.41436133270383896,4571,1343
6001,0.9623932363809028,0.3076672960802379,0.46627214567394026,0.966672221296495,0.32277953674388354,0.4142231336665821,5462,1588
7001,0.9579708094727775,0.29747890961900253,0.453982517204995,0.9622911012713489,0.31252678188830496,0.4002207144421954,6348,1766
8001,0.957439059527131,0.29227828008687246,0.44784309657256655,0.9613798275215186,0.3074615673040949,0.39519457921856843,7263,1982
9001,0.9561876082594052,0.2933569493207637,0.44897043172355994,0.9601155427175837,0.3081879791134338,0.3945225857005125,8186,2252
10001,0.9569916270820701,0.2892678692601957,0.444252468572327,0.9610038996101393,0.3037696230376942,0.3916063389658263,9118,2478
11001,0.9565158405049964,0.2921284404561609,0.4475661884155634,0.9603672393419657,0.30660849013727437,0.39467520984465787,10039,2775
12001,0.9582590846792975,0.2852309040573105,0.43960965913671174,0.9617531872342645,0.29972502291475983,0.39049683546062103,10955,2959
13001,0.9581793129952896,0.2761675495866411,0.4287579787435253,0.9614645027303579,0.29005461118374526,0.3803729093983701,11887,3105
14001,0.9570615450885785,0.2832271683886781,0.43710118207747745,0.9602885508179545,0.2970502106992333,0.3868892262200539,12798,3454
15001,0.9571968362282368,0.28535763540008297,0.4396482118656516,0.9602693153789744,0.2990467302179854,0.39121912653569324,13726,3744
15293,0.9569072538906702,0.2864994747009185,0.44097143641439046,0.95991630157554,0.3002027071209106,0.39271728279825596,13982,3825
