n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9935897435897435,0.4428927978206286,0.6126823386134403,0.9950049950049843,0.47652347652347976,0.599214270513251,886,370
2001,0.9926703315009167,0.3431209239549421,0.5099688442128877,0.9940029985007401,0.3688155922038954,0.47944529857588364,1835,588
3001,0.9938353882039315,0.3029971977437108,0.4644074199049805,0.995001666111312,0.32189270243252627,0.42761638957786224,2829,813
4001,0.9943764058985249,0.3005431988091108,0.4615777917989339,0.9952511872031607,0.31517120719820196,0.4230180373870426,3815,1099
5001,0.9938012397520498,0.29313237820774396,0.4527278125442892,0.9946010797839723,0.3081383723255352,0.41955925586203296,4769,1343
6001,0.9930844859190138,0.2868041491631314,0.4450711463858389,0.9938343609398901,0.3002832861189873,0.4127084335288973,5744,1588
7001,0.9891932805117477,0.2766474165873616,0.4323731511971228,0.9907156120555343,0.29110127124697033,0.40233432285314785,6658,1766
8001,0.9804644412793176,0.28318572327350716,0.4394468338409048,0.9841269841269368,0.30233720784902546,0.41097683026550186,7439,1982
9001,0.9686663971940552,0.2923233955199299,0.4491136280245053,0.9742250861016515,0.31552049772247825,0.4183260431841156,8191,2252
10001,0.9574804919721417,0.29295668253561236,0.4486435852023452,0.9637036296371335,0.31766823317668114,0.41459442320234874,8980,2478
11001,0.9408095072727665,0.30488215669781643,0.46052492750068647,0.9486410326334811,0.33124261430780416,0.41790661852575206,9626,2775
12001,0.9323676387498435,0.3019396817676548,0.45615671795020596,0.9405882843095212,0.3300558286809493,0.41626421341394654,10382,2959
13001,0.9304634300863405,0.29322405331517226,0.4459214662767513,0.9383893546648431,0.3221290669948396,0.407605244255275,11238,3105
14001,0.9209589263834987,0.30881327797666713,0.46253175007534364,0.9296478822942532,0.3389043639739939,0.41697359765293784,11867,3454
15001,0.9139984645618551,0.31726329728143443,0.47102602478768407,0.9232717818812076,0.347376841543897,0.42331135283184973,12556,3744
15293,0.9103108892043343,0.32162649951905714,0.47531653385772615,0.9197672137576395,0.3517295494670827,0.42501368486068575,12712,3825
