n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7622158798223969,0.5712024612951275,0.6530277455579275,0.780219780219777,0.6153846153846154,0.548854416753654,594,370
2001,0.7426440101243713,0.5175885500532243,0.6100207986243695,0.7741129435282298,0.5602198900549693,0.4741178949537825,1161,588
3001,0.7309093691966809,0.4807373279304027,0.5799964922779046,0.7640786404531923,0.5281572809063689,0.43623492525067825,1776,813
4001,0.7035914660088545,0.48871213513857936,0.5767888099768498,0.7368157960509691,0.5341164708822775,0.4228112100502068,2320,1099
5001,0.6847654509920716,0.48962528646312353,0.5709828414153929,0.7186562687462179,0.5388922215556828,0.41923472491189984,2806,1343
6001,0.6819568233980239,0.47901175842722127,0.5627462142580199,0.7140476587235706,0.5285785702383016,0.4112893692679826,3397,1588
7001,0.6813703211013585,0.4667307519036233,0.5539869089401511,0.7138980145693807,0.5174975003570936,0.4019572925908169,3973,1766
8001,0.6829324463429135,0.46294661135828413,0.5518230910953921,0.7154105736782954,0.5161854768154142,0.4081946839855563,4500,1982
9001,0.6879864290742854,0.46279166002657723,0.5533549597486978,0.7205866014887771,0.5171647594711783,0.41914776660025427,5048,2252
10001,0.6882487725377341,0.45940622008450993,0.5510118791831685,0.720727927207328,0.5153484651534885,0.4248620641776438,5558,2478
11001,0.6855940006035668,0.4595411440295061,0.5502558415986453,0.7184801381693063,0.5148622852468117,0.4270070468699816,6071,2775
12001,0.679277370355959,0.45634336374330337,0.5459282501544198,0.7131072410632173,0.5129572535622138,0.4281012095757472,6501,2959
13001,0.6717829658659342,0.45425783523531693,0.5420099796095763,0.7068687024074478,0.5140373817398606,0.42784608544015645,6873,3105
14001,0.6784736819180999,0.4582879408995269,0.5470563052085913,0.7125205342475832,0.5175344618241441,0.4356218881103861,7467,3454
15001,0.681574963744525,0.45838893882162635,0.5481338903011648,0.7148856742883806,0.5161655889607358,0.4396695615218488,8063,3744
15293,0.6815222902895413,0.46026802154635504,0.5494580098283263,0.7146406852807348,0.5175570522461287,0.4409622686410263,8206,3825
