n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.9212730991951763,0.5927904833947069,0.7213989321059804,0.934065934065928,0.633366633366634,0.6835671640534732,692,370
2001,0.9315036679211207,0.4559221285048612,0.6122030253188243,0.9440279860069883,0.4992503748125904,0.5592111158281492,1518,588
3001,0.9487420521656657,0.3845352010931329,0.5472600915125951,0.9583472175941496,0.41852715761413317,0.4890837183170685,2474,813
4001,0.9535546928711409,0.37077244290092515,0.5339342423265504,0.9617595601099399,0.4013996500874771,0.48091365838730016,3384,1099
5001,0.9551532758501584,0.35538477144876834,0.5180268201082221,0.9630073985202354,0.3833233353329292,0.46694245769338716,4285,1343
6001,0.9332161413110177,0.35667601304646407,0.5160986699065874,0.9421763039493821,0.3842692884519322,0.45244636959849777,5026,1588
7001,0.9172236182332925,0.3550777183172211,0.5119631021247659,0.9291529781460668,0.38594486501928144,0.4475909065826878,5700,1766
8001,0.9084782958743014,0.35994835402018716,0.5156076897157919,0.9227596550430893,0.3940757405324489,0.4556041132127635,6355,1982
9001,0.894719900843094,0.3649553841659701,0.5184397106446055,0.9104543939563137,0.4003999555605023,0.45540641235976836,6999,2252
10001,0.8751982384722402,0.3752564504330593,0.5252869813009777,0.8918108189181873,0.4138586141385915,0.45376289559438593,7522,2478
11001,0.8605607543768892,0.3826688248850127,0.5297650218635781,0.878465594036975,0.4224161439869252,0.4541862673018201,8104,2775
12001,0.8490769045601416,0.3775902122446246,0.5227223004721651,0.8673443879675876,0.4185484542954885,0.44575222884497356,8729,2959
13001,0.83848013208349,0.37364884431111994,0.5169369570929835,0.857318667794654,0.4165064225828783,0.4376276623102109,9326,3105
14001,0.8290206487055098,0.3821447496620085,0.5231422375361995,0.8487965145347628,0.425112491964844,0.4403981491055642,9889,3454
15001,0.824393320950257,0.38565693226161374,0.5254872651623211,0.8445436970868606,0.42850476634890994,0.4431711726335629,10531,3744
15293,0.8216059861864924,0.38799742872467763,0.5270835153661871,0.8421500032692549,0.43085071601386976,0.44378492225750893,10687,3825
