n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7944456830620888,0.7370876519443473,0.7646925989019983,0.8301698301698298,0.7832167832167833,0.7517471854651316,430,370
2001,0.7406145973781837,0.6772198106366271,0.707499937307116,0.7916041979010452,0.7396301849075417,0.6903656357321964,698,588
3001,0.7041591397747249,0.6676592117882358,0.6854235995601458,0.7650783072309294,0.7340886371209662,0.6641383313978384,950,813
4001,0.6615180468729153,0.6807298861642391,0.6709864752400023,0.7283179205198635,0.7428142964258888,0.6372334049661159,1211,1099
5001,0.6385652387898251,0.6780552582392328,0.6577180271266524,0.7082583483303236,0.7388522295540814,0.6165505962961003,1471,1343
6001,0.6106439205250455,0.6885698614566521,0.6472699190643295,0.6818863522746319,0.7495417430428388,0.598205729945467,1645,1588
7001,0.6066232433999676,0.6821548640874355,0.6421757069734038,0.6779031566919119,0.7420368518783096,0.592205943920142,1862,1766
8001,0.5991922243590415,0.6847811395286213,0.6391340283740856,0.6721659792526049,0.7445319335083302,0.5894761005434506,2064,1982
9001,0.5920131397942806,0.6919127575891838,0.6380764574012668,0.6659260082213203,0.7510276635929448,0.5866891880358324,2283,2252
10001,0.5795561400635139,0.7004873698253066,0.6343093075866755,0.6574342565743547,0.7581241875812582,0.5790891195516445,2473,2478
11001,0.569941068567815,0.7070453119515057,0.6311330594702584,0.6478501954367971,0.7636578492864516,0.5733348846202362,2699,2775
12001,0.5657910845139325,0.7078558754234828,0.6289004033819406,0.643946337805184,0.7635197066911171,0.5715351163951977,2880,2959
13001,0.5678841527436608,0.7115992797736291,0.6316704754702415,0.6466425659564478,0.7670948388585374,0.5769850933589403,3032,3105
14001,0.5677299529334091,0.7113910639921897,0.6314930486378297,0.6466680951360616,0.7669452181986911,0.5755769856687156,3370,3454
15001,0.5662881235145828,0.7147846018794614,0.6319298239542711,0.6440903939737349,0.7692820478634755,0.5741111515464861,3639,3744
15293,0.5674407882317153,0.7162082687254516,0.6332038844121606,0.644674033871684,0.7704178382266151,0.5749092485299979,3723,3825
