n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets
1001,0.7923586075759987,0.7404842553409504,0.7655436675059828,0.8291708291708284,0.7862137862137863,0.7489173403074952,427,370
2001,0.7396331836698682,0.6801698883927805,0.7086563339484492,0.7916041979010452,0.7421289355322294,0.6919247664328403,691,588
3001,0.7042449349592318,0.6691951915727404,0.6862728342649808,0.7647450849716823,0.7350883038987069,0.6644967557117556,946,813
4001,0.6617490347248195,0.6816688154180925,0.6715612429251953,0.7285678580354846,0.7435641089727522,0.6369217918195736,1208,1099
5001,0.6386222934229897,0.6787941825071001,0.6580957586534261,0.7082583483303235,0.7394521095780767,0.6164806679466965,1467,1343
6001,0.6085766098129844,0.6894448682587113,0.6464916454251011,0.6802199633394542,0.7500416597233921,0.596635473445729,1632,1588
7001,0.6042977193629073,0.6831667551247855,0.6413165104703044,0.6759034423653866,0.7426081988287453,0.5903998679008522,1846,1766
8001,0.5991384522324462,0.6853880977790908,0.6393676550760539,0.6720409948756525,0.7449068866391888,0.5900674528519887,2054,1982
9001,0.5921846438196245,0.6926879129307838,0.6385055744898412,0.666259304521731,0.7515831574269634,0.5870323945928305,2271,2252
10001,0.5796847074171138,0.7016225023771643,0.6348513953543914,0.657934206579354,0.7589241075892575,0.5790504001516831,2460,2478
11001,0.5702382080490108,0.7074862393777595,0.6314909074090155,0.6485774020543769,0.7640214525952418,0.5734258143564397,2687,2775
12001,0.566437478995498,0.7082650499948194,0.6294611648687383,0.6447796016998601,0.7637696858595201,0.5722100758340974,2867,2959
13001,0.5689959288481007,0.7118996533503795,0.6324762301225161,0.6478732405199431,0.7670179216983191,0.5781595214373225,3017,3105
14001,0.568838605287911,0.7123289434569173,0.6325483393631418,0.6475251767730871,0.7675166059567081,0.5770406673473584,3351,3454
15001,0.5670510348677652,0.7157932846596535,0.6327990335837133,0.6447570161989199,0.7699486700886605,0.5754217222793128,3615,3744
15293,0.568132379915526,0.7171758955516025,0.6340126429353269,0.6452625384162473,0.7710717321650185,0.5762006149949558,3698,3825
