after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.07235370220801578,0.971962121212121,0.13468159018282114,0.11300000000000006,0.9750000000000008,0.10087295750231579,56,737,25.845224142074585
2000,1000,0.08695789907054766,0.9691384615384615,0.1595957483941138,0.12700000000000009,0.9730000000000008,0.1262564939275171,63,756,28.83927297592163
3000,1000,0.0793166701717981,0.9748166666666667,0.14669721433887267,0.12500000000000008,0.9790000000000008,0.11760491475958935,59,773,30.044299125671387
4000,1000,0.09456359364048314,0.9619285714285714,0.1721989533803998,0.1320000000000001,0.9690000000000007,0.13220722152486658,72,763,34.10107398033142
5000,1000,0.08120914726648963,0.9681222222222221,0.14984852717157124,0.11500000000000007,0.9740000000000008,0.11759215384415192,64,750,32.88443398475647
6000,1000,0.08109083718899247,0.9636454545454544,0.14959338022560162,0.12200000000000008,0.9690000000000007,0.12196333726680515,64,750,28.170176029205322
7000,1000,0.09464327773618003,0.9574000000000001,0.1722580734503611,0.14200000000000007,0.9630000000000007,0.13428680349944114,67,753,31.052706956863403
8000,1000,0.09056036502714651,0.9684166666666665,0.1656318583065604,0.1290000000000001,0.9730000000000008,0.13077215751102683,68,777,30.950598001480103
9000,1000,0.0941461310661804,0.9561904761904759,0.17141482696825525,0.13400000000000006,0.9630000000000007,0.1333881428667863,72,767,30.846899032592773
10000,1000,0.1069470181440544,0.9614333333333331,0.19248281382583052,0.15100000000000008,0.9680000000000007,0.1463364410426777,79,760,36.37990593910217
11000,1000,0.09451663976276949,0.9637333333333333,0.1721499430376412,0.14200000000000007,0.9690000000000007,0.13419902675743903,69,737,32.838778018951416
12000,1000,0.08555269537661439,0.9660833333333332,0.15718562481447068,0.13200000000000006,0.9710000000000008,0.1265484271634762,63,739,38.436952114105225
13000,1000,0.09070532886353334,0.9604238095238095,0.1657561460523843,0.1310000000000001,0.9660000000000007,0.13109378095063903,72,762,38.57593297958374
14000,1000,0.0879338482109129,0.9607424242424243,0.16112079718458014,0.13000000000000006,0.9670000000000007,0.12808653370812736,67,744,40.45584797859192
15000,1000,0.09388265815976386,0.9547047619047622,0.17095421724568857,0.1360000000000001,0.9630000000000007,0.13676172588125887,72,751,38.17493987083435
16000,1000,0.07618676646851151,0.9732484848484845,0.1413115386355295,0.11700000000000005,0.9780000000000008,0.11272075398115816,59,779,41.520041942596436
17000,1000,0.09366445998065409,0.9602676767676765,0.17068073027703734,0.1390000000000001,0.9660000000000007,0.13659909584141197,69,763,41.449212074279785
18000,1000,0.08858709119001289,0.9607666666666665,0.16221702867137247,0.13500000000000006,0.9680000000000007,0.1291553798649595,70,746,44.807827949523926
19000,1000,0.08077610418353609,0.9654190476190475,0.14907885863719175,0.11900000000000008,0.9710000000000008,0.1177537662352614,64,770,41.94133496284485
20000,1000,0.08942569665934501,0.9630404761904761,0.16365479046473722,0.13000000000000006,0.9690000000000007,0.13015299922771525,72,758,40.79627203941345
21000,1000,0.08669530781822123,0.9607960317460316,0.1590399931275771,0.13100000000000006,0.9670000000000007,0.1267212620915331,63,757,47.103322982788086
22000,1000,0.091071682490297,0.9556794871794873,0.16629613864459675,0.1340000000000001,0.9610000000000007,0.13345267696234062,69,764,45.08636713027954
23000,1000,0.09075017350311194,0.9636436507936512,0.1658788708536341,0.1300000000000001,0.9680000000000007,0.1292161846234959,73,774,49.40859603881836
24000,1000,0.09099893451112318,0.9565121212121214,0.16618742762038013,0.13600000000000007,0.9640000000000007,0.13289447616725278,70,751,44.94936513900757
25000,1000,0.08677876829832695,0.9627333333333334,0.15920695480599695,0.11900000000000006,0.9690000000000007,0.12725065647661088,68,778,48.3273491859436
26000,1000,0.1026593910824061,0.9651047619047615,0.1855785604165418,0.1410000000000001,0.9700000000000008,0.1428043815590202,80,755,44.01060199737549
27000,1000,0.09056161193491545,0.9635333333333334,0.16556218623642663,0.12600000000000008,0.9690000000000007,0.1300984159398925,71,792,43.66515803337097
28000,1000,0.09307277146815367,0.9638999999999999,0.16975431503981053,0.13600000000000007,0.9700000000000008,0.13622074723373048,68,745,45.11518692970276
29000,1000,0.09733079108242453,0.9573761904761908,0.17669776271855842,0.14100000000000007,0.9670000000000007,0.13616840058630816,72,767,49.45462203025818
30000,1000,0.10688294395373546,0.9663523809523811,0.1924770550800261,0.15300000000000008,0.9730000000000008,0.14870332667196554,78,762,52.1787428855896
31000,1000,0.10364857087914128,0.9590666666666667,0.18707907041473454,0.1450000000000001,0.9660000000000007,0.1412723747430614,76,749,46.372857093811035
32000,1000,0.09647427308077443,0.953775957375957,0.17522460743426804,0.14000000000000007,0.9620000000000007,0.1363915429501121,73,763,49.963675022125244
33000,1000,0.08711969011170498,0.9627978354978353,0.15978140572535945,0.13100000000000006,0.9680000000000007,0.12715524740682702,65,761,49.133188009262085
34000,1000,0.08478538058295627,0.9621770562770561,0.15583853829427594,0.12600000000000008,0.9700000000000008,0.12597285071740255,63,760,49.641047954559326
35000,1000,0.08453265653612943,0.9677888888888889,0.15548435000612845,0.12200000000000007,0.9720000000000008,0.12429701104723007,60,764,48.19362711906433
36000,1000,0.10021924733061066,0.9591000000000002,0.18147556623181005,0.14600000000000007,0.9640000000000007,0.1401280105788762,74,735,49.616097927093506
37000,1000,0.09846874395839077,0.9511818181818175,0.17846258991458727,0.14100000000000007,0.9590000000000007,0.13658177580752676,75,774,49.528087854385376
38000,1000,0.10016029791188584,0.9783787878787878,0.18171749574150953,0.1440000000000001,0.9810000000000008,0.1407656752017243,76,766,51.521371841430664
