depth,count
0,327
1,335
2,389
3,495
4,366
5,377
6,439
7,315
8,342
9,313
10,327
11,310
12,272
13,325
14,257
15,249
16,257
17,190
18,200
19,168
20,191
21,158
22,158
23,179
24,126
25,134
26,136
27,109
28,112
29,117
30,117
31,90
32,98
33,100
34,72
35,78
36,94
37,106
38,70
39,66
40,63
41,65
42,65
43,71
44,92
45,52
46,59
47,48
48,35
49,56
50,45
51,49
52,39
53,49
54,38
55,67
56,36
57,44
58,42
59,29
60,37
61,28
62,35
63,45
64,32
65,44
66,32
67,28
68,34
69,36
70,33
71,17
72,24
73,27
74,36
75,20
76,25
77,24
78,25
79,15
80,19
81,25
82,26
83,9
84,15
85,21
86,22
87,12
88,21
89,22
90,26
91,24
92,12
93,24
94,20
95,12
96,9
97,9
98,24
99,14
100,26
101,11
102,16
103,15
104,12
105,20
106,10
107,11
108,12
109,27
110,12
111,7
112,14
113,17
114,20
115,10
116,11
117,10
118,23
119,10
120,9
121,16
122,12
123,7
124,7
125,17
126,15
127,11
128,9
129,10
130,14
131,7
132,10
133,17
134,10
135,13
136,18
137,13
138,8
139,7
140,7
141,5
142,15
143,7
144,12
145,16
146,12
147,15
148,8
149,10
150,8
151,10
152,2
153,12
154,21
155,5
156,7
157,10
158,18
159,5
160,8
161,11
162,10
163,11
164,8
165,14
166,9
167,4
168,11
169,14
170,11
171,4
172,17
173,10
174,7
175,12
176,8
177,12
178,12
179,7
180,8
181,16
182,8
183,2
184,11
185,6
186,12
187,9
188,10
189,15
190,16
191,9
192,4
193,9
194,5
195,6
196,6
197,8
198,18
199,12
200,7
201,10
202,17
203,8
204,1
205,9
206,11
207,6
208,14
209,12
210,10
211,4
212,8
213,12
214,14
215,3
216,5
217,21
218,7
219,7
220,10
221,11
222,6
223,6
224,9
225,10
226,17
227,2
228,10
229,8
230,11
231,11
232,7
233,11
234,11
235,18
236,2
237,7
238,11
239,4
240,5
241,10
242,14
243,8
244,15
245,15
246,11
247,6
248,4
249,9
250,10
251,2
252,8
253,17
254,12
255,4
256,11
257,12
258,11
259,7
260,1
261,12
262,14
263,7
264,6
265,11
266,10
267,4
268,17
269,8
270,11
271,9
272,6
273,10
274,10
275,10
276,6
277,11
278,9
279,10
280,15
281,6
282,9
283,5
284,5
285,10
286,14
287,9
288,7
289,18
290,12
291,6
292,3
293,6
294,10
295,4
296,8
297,12
298,23
299,5
300,6
301,17
302,7
303,3
304,5
305,12
306,7
307,13
308,10
309,9
310,13
311,4
312,12
313,9
314,7
315,9
316,13
317,8
318,11
319,10
320,3
321,8
322,12
323,7
324,9
325,13
326,10
327,5
328,8
329,14
330,11
331,8
332,4
333,13
334,18
335,5
336,3
337,7
338,15
339,1
340,11
341,11
342,12
343,16
344,4
345,14
346,10
347,4
348,2
349,11
350,7
351,6
352,19
353,8
354,12
355,7
356,9
357,13
358,9
359,3
360,7
361,16
362,7
363,7
364,10
365,8
366,12
367,8
368,10
369,10
370,15
371,9
372,1
373,11
374,12
375,8
376,5
377,9
378,17
379,10
380,5
381,5
382,14
383,2
384,6
385,17
386,8
387,7
388,17
389,15
390,6
391,4
392,4
393,8
394,11
395,5
396,13
397,16
398,11
399,10
400,11
401,9
402,6
403,5
404,3
405,10
406,18
407,6
408,10
409,9
410,12
411,8
412,8
413,10
414,7
415,14
416,2
417,11
418,13
419,6
420,5
421,9
422,15
423,6
424,14
425,7
426,10
427,7
428,7
429,14
430,12
431,7
432,5
433,19
434,9
435,2
436,9
437,8
438,11
439,6
440,8
441,15
442,15
443,6
444,8
445,12
446,4
447,2
448,11
449,6
450,15
451,13
452,8
453,8
454,14
455,13
456,3
457,8
458,8
459,9
460,9
461,11
