id,entropy
launchpad:0000121212,4.831843
launchpad:0000135862,4.811716
launchpad:0000147132,4.462241
launchpad:0000147784,4.360053
launchpad:0000149667,4.283048
launchpad:0000216543,4.225260
launchpad:0000287054,3.857037
launchpad:0000288603,4.526302
launchpad:0000298452,4.501975
launchpad:0000300864,4.726054
launchpad:0000319026,4.660475
launchpad:0000333930,4.722865
launchpad:0000334019,4.765146
launchpad:0000335029,4.713339
launchpad:0000335058,4.821979
launchpad:0000336105,4.722945
launchpad:0000339929,4.705449
launchpad:0000340018,4.728840
launchpad:0000340643,4.699544
launchpad:0000341669,4.722788
launchpad:0000342293,4.716121
launchpad:0000342959,4.830098
launchpad:0000342969,4.749070
launchpad:0000344980,4.745919
launchpad:0000345110,4.863004
launchpad:0000345265,4.924448
launchpad:0000346452,4.870203
launchpad:0000350561,4.764631
launchpad:0000350638,4.726939
launchpad:0000351141,4.737357
launchpad:0000352974,4.715059
launchpad:0000354900,4.705841
launchpad:0000356035,4.709268
launchpad:0000356784,4.709687
launchpad:0000357887,4.749334
launchpad:0000358201,4.768014
launchpad:0000360448,4.690748
launchpad:0000361259,4.605080
launchpad:0000362126,4.706604
launchpad:0000362205,5.006028
launchpad:0000362294,4.671706
launchpad:0000365862,4.854737
launchpad:0000389560,4.599825
launchpad:0000392213,4.720721
launchpad:0000425229,4.748384
launchpad:0000436979,4.958866
launchpad:0000437093,5.211137
launchpad:0000438082,4.946007
launchpad:0000445339,4.874502
launchpad:0000445767,4.875180
launchpad:0000450152,4.951074
launchpad:0000455007,4.907930
launchpad:0000520224,4.746810
launchpad:0000524737,4.828392
launchpad:0000539631,5.152837
launchpad:0000546065,4.371210
launchpad:0000547217,4.810807
launchpad:0000556912,4.339404
launchpad:0000559204,5.297873
launchpad:0000565309,3.642665
launchpad:0000629306,4.476524
launchpad:0000638109,4.734742
launchpad:0000643640,4.748106
launchpad:0000646434,4.668133
launchpad:0000652026,4.555510
launchpad:0000654612,4.509972
launchpad:0000657593,4.511679
launchpad:0000676633,4.833321
launchpad:0000695782,4.788238
launchpad:0000730029,5.191965
launchpad:0000734939,5.100881
launchpad:0000744758,4.571744
launchpad:0000758713,4.982710
launchpad:0000766828,5.179480
launchpad:0000804623,5.063056
launchpad:0000805129,5.077825
launchpad:0000805674,5.098145
launchpad:0000806290,5.102165
launchpad:0000807113,5.076965
launchpad:0000812201,5.068292
launchpad:0000812978,5.105900
launchpad:0000834355,5.040151
launchpad:0000837569,5.085068
launchpad:0000837865,5.113167
launchpad:0000839149,5.059339
launchpad:0000839218,5.083026
launchpad:0000840159,5.099666
launchpad:0000841338,5.109519
launchpad:0000843965,5.065591
launchpad:0000845529,5.083303
launchpad:0000877712,3.973442
launchpad:0000899409,4.948640
launchpad:0000903444,5.034697
launchpad:0000903696,4.938312
launchpad:0000921383,5.016311
launchpad:0000926837,5.026979
launchpad:0000939512,4.986197
launchpad:0000939573,5.122795
launchpad:0000945585,5.120865
launchpad:0000946939,5.043857
launchpad:0000950054,4.798557
launchpad:0000950107,5.144213
launchpad:0000950973,4.934159
launchpad:0000951027,5.111863
launchpad:0000951092,5.121123
launchpad:0000956124,4.983964
launchpad:0000962897,5.017547
launchpad:0000964676,5.223861
launchpad:0000968676,5.113082
launchpad:0000981779,5.048145
launchpad:0001057117,4.891090
launchpad:0001131648,4.674475
launchpad:0001132646,4.679281
launchpad:0001156036,4.679240
launchpad:0001161268,4.319877
launchpad:0001161463,4.108909
launchpad:0001162331,4.108755
launchpad:0001200874,4.751076
launchpad:0001221492,5.099638
launchpad:0001276825,5.098732
launchpad:0001281334,4.930409
launchpad:0001442145,5.024881
launchpad:0001507211,4.693604
