id,entropy
launchpad:0000121027,4.835588
launchpad:0000121345,4.686163
launchpad:0000145703,4.556626
launchpad:0000149917,4.792895
launchpad:0000177195,3.816800
launchpad:0000184248,3.942517
launchpad:0000184857,4.438505
launchpad:0000204451,3.285900
launchpad:0000205731,4.191438
launchpad:0000207095,4.020760
launchpad:0000208735,4.229757
launchpad:0000212969,4.567551
launchpad:0000213205,3.836333
launchpad:0000215164,4.681868
launchpad:0000215478,4.669278
launchpad:0000216101,4.145604
launchpad:0000217612,4.046166
launchpad:0000217844,4.723394
launchpad:0000234027,3.764742
launchpad:0000236410,3.711045
launchpad:0000238748,4.692617
launchpad:0000240692,3.463837
launchpad:0000243702,3.714164
launchpad:0000245477,3.884714
launchpad:0000246435,4.035805
launchpad:0000247921,3.677106
launchpad:0000251931,3.852555
launchpad:0000258637,4.086832
launchpad:0000263717,4.427747
launchpad:0000264573,3.853628
launchpad:0000264879,3.930949
launchpad:0000272870,4.584835
launchpad:0000274627,4.556518
launchpad:0000279226,4.104896
launchpad:0000281405,5.256029
launchpad:0000282766,5.262388
launchpad:0000284661,3.759739
launchpad:0000285091,3.658794
launchpad:0000287241,3.699603
launchpad:0000293814,3.610252
launchpad:0000297111,4.610896
launchpad:0000298656,3.704360
launchpad:0000318045,3.571928
launchpad:0000322683,3.578606
launchpad:0000325333,4.107108
launchpad:0000329243,4.107792
launchpad:0000334583,3.605093
launchpad:0000339700,5.080961
launchpad:0000340752,3.581790
launchpad:0000348791,3.957847
launchpad:0000349085,4.711886
launchpad:0000350180,4.649728
launchpad:0000350635,4.871452
launchpad:0000352174,4.466561
launchpad:0000355003,4.999214
launchpad:0000355260,4.569649
launchpad:0000356164,3.703204
launchpad:0000356359,3.701552
launchpad:0000356578,3.968523
launchpad:0000359277,4.098829
launchpad:0000361871,4.492528
launchpad:0000368528,4.920542
launchpad:0000403326,3.651326
launchpad:0000405179,4.588336
launchpad:0000405242,4.564331
launchpad:0000405599,4.739127
launchpad:0000405872,4.633017
launchpad:0000407932,3.495268
launchpad:0000409768,3.800008
launchpad:0000413152,4.649722
launchpad:0000424043,4.058593
launchpad:0000428100,5.040818
launchpad:0000433255,3.761600
launchpad:0000433486,4.940357
launchpad:0000434217,4.333540
launchpad:0000436088,4.140823
launchpad:0000437322,4.672638
launchpad:0000438357,4.847240
launchpad:0000441751,5.180028
launchpad:0000448206,4.371177
launchpad:0000449949,3.592693
launchpad:0000451023,3.480954
launchpad:0000452653,3.691120
launchpad:0000457563,5.092419
launchpad:0000458339,4.962699
launchpad:0000458523,5.241273
launchpad:0000459087,4.879854
launchpad:0000461418,3.714774
launchpad:0000463246,5.146721
launchpad:0000466388,4.420943
launchpad:0000466533,3.509820
launchpad:0000467727,3.718094
launchpad:0000469000,3.510920
launchpad:0000469484,3.713212
launchpad:0000469721,4.219187
launchpad:0000475314,3.512374
launchpad:0000485539,3.511278
launchpad:0000486768,3.671014
launchpad:0000488422,3.509811
launchpad:0000491310,4.093178
launchpad:0000491882,3.511736
launchpad:0000505860,4.103648
launchpad:0000511552,5.150503
launchpad:0000515135,3.637460
launchpad:0000518542,4.173250
launchpad:0000519585,4.933839
launchpad:0000520256,4.709481
launchpad:0000524085,4.831253
launchpad:0000525413,4.850662
launchpad:0000535452,4.910634
launchpad:0000543236,4.636756
launchpad:0000543385,4.991691
launchpad:0000543501,4.101530
launchpad:0000546673,4.947540
launchpad:0000553682,3.596015
launchpad:0000557629,3.549933
launchpad:0000558625,3.549871
launchpad:0000559270,5.057651
launchpad:0000562351,5.338687
launchpad:0000563447,5.057314
launchpad:0000563772,3.674100
launchpad:0000564069,5.009242
launchpad:0000564663,4.912037
launchpad:0000571045,4.692520
launchpad:0000602778,4.961684
launchpad:0000603362,4.647551
launchpad:0000604597,5.053025
launchpad:0000608926,4.951892
launchpad:0000615074,5.163211
launchpad:0000623629,4.576842
launchpad:0000631077,3.659769
launchpad:0000638851,4.142805
launchpad:0000641508,5.090122
launchpad:0000646149,5.057171
launchpad:0000648409,4.712922
launchpad:0000649490,5.139912
launchpad:0000651423,4.937162
launchpad:0000656259,3.767499
launchpad:0000661254,4.699281
launchpad:0000677993,4.343794
launchpad:0000691587,5.190952
launchpad:0000695132,4.455812
launchpad:0000696357,5.167714
launchpad:0000710257,4.934223
launchpad:0000712849,4.321426
launchpad:0000731082,4.983634
launchpad:0000750444,4.757288
launchpad:0000751532,4.731205
launchpad:0000753722,3.534519
launchpad:0000753838,3.703961
launchpad:0000755681,4.722658
launchpad:0000756605,3.758369
launchpad:0000757261,3.454912
launchpad:0000757649,4.746203
launchpad:0000757762,5.126499
launchpad:0000757786,4.368264
launchpad:0000760610,4.747572
launchpad:0000763228,4.686286
launchpad:0000765149,5.005436
launchpad:0000771821,4.655479
launchpad:0000795474,4.730635
launchpad:0000799414,4.521701
launchpad:0000804205,4.999240
launchpad:0000804230,5.006899
launchpad:0000804560,4.584271
launchpad:0000804954,4.996164
launchpad:0000805076,5.007812
launchpad:0000805628,4.330130
launchpad:0000806181,4.994738
launchpad:0000806689,4.581816
launchpad:0000807208,4.759811
launchpad:0000810886,4.952734
launchpad:0000811401,5.025371
launchpad:0000811653,4.501256
launchpad:0000811855,4.992244
launchpad:0000812017,4.494828
launchpad:0000812071,4.997607
launchpad:0000815656,4.739545
launchpad:0000816278,4.981742
launchpad:0000819115,4.990717
launchpad:0000819182,4.976628
launchpad:0000822040,4.340024
launchpad:0000826748,4.579442
launchpad:0000829640,4.978983
launchpad:0000830029,5.000135
launchpad:0000836916,4.321527
launchpad:0000837307,4.986841
launchpad:0000839231,3.633213
launchpad:0000840718,4.312776
launchpad:0000841042,5.011925
launchpad:0000841436,5.004762
launchpad:0000843702,5.005634
launchpad:0000843893,5.030135
launchpad:0000844244,5.004199
launchpad:0000845260,4.997205
launchpad:0000845783,4.458347
launchpad:0000847484,5.180739
launchpad:0000850420,4.938695
launchpad:0000851054,4.682613
launchpad:0000851954,5.013666
launchpad:0000857642,4.314914
launchpad:0000858094,3.776069
launchpad:0000859103,3.210884
launchpad:0000862771,4.963610
launchpad:0000864167,4.964377
launchpad:0000865734,4.944789
launchpad:0000868096,4.721346
launchpad:0000869073,4.948986
launchpad:0000869361,4.958648
launchpad:0000899926,4.358374
launchpad:0000906302,4.713028
launchpad:0000908518,3.780891
launchpad:0000913359,4.009280
launchpad:0000913611,4.132390
launchpad:0000916377,4.153994
launchpad:0000917052,4.372037
launchpad:0000917207,3.862079
launchpad:0000918520,4.160214
launchpad:0000919304,3.654880
launchpad:0000919533,4.203765
launchpad:0000919927,3.635290
launchpad:0000920211,4.066195
launchpad:0000920731,4.076606
launchpad:0000921290,4.136674
launchpad:0000921548,3.682354
launchpad:0000922629,3.689687
launchpad:0000923707,4.043030
launchpad:0000926131,4.130203
launchpad:0000926218,3.655214
launchpad:0000926542,4.788849
