offset,count
0,65
1,117
2,444
3,766
4,308
5,242
6,474
7,431
8,416
9,355
10,329
11,316
12,256
13,260
14,226
15,212
16,264
17,246
18,237
19,211
20,214
21,168
22,171
23,170
24,158
25,154
26,153
27,179
28,133
29,154
30,103
31,89
32,99
33,100
34,78
35,91
36,83
37,113
38,74
39,52
40,58
41,91
42,56
43,57
44,54
45,65
46,60
47,52
48,61
49,42
50,46
51,47
52,44
53,51
54,43
55,46
56,44
57,28
58,29
59,36
60,32
61,33
62,37
63,15
64,29
65,23
66,18
67,26
68,24
69,43
70,38
71,26
72,29
73,29
74,19
75,19
76,39
77,17
78,19
79,13
80,34
81,23
82,17
83,22
84,28
85,15
86,12
87,20
88,15
89,18
90,18
91,21
92,22
93,15
94,9
95,18
96,9
97,15
98,16
99,12
100,12
101,17
102,12
103,10
104,18
105,16
106,13
107,17
108,18
109,16
110,10
111,6
112,13
113,16
114,6
115,12
116,22
117,15
118,10
119,4
120,16
121,6
122,8
123,9
124,11
125,19
126,11
127,8
128,14
129,17
130,6
131,6
132,11
133,7
134,15
135,10
136,11
137,11
138,8
139,11
140,15
141,12
142,5
143,14
144,10
145,9
146,13
147,7
148,12
149,11
150,11
151,8
152,14
153,16
154,3
155,5
156,8
157,19
158,9
159,7
160,14
161,17
162,12
163,3
164,14
165,8
166,2
167,8
168,13
169,13
170,15
171,14
172,13
173,13
174,6
175,4
176,10
177,6
178,5
179,16
180,15
181,11
182,7
183,10
184,9
185,11
186,7
187,4
188,16
189,11
190,13
191,4
192,10
193,11
194,9
195,9
196,7
197,16
198,6
199,6
200,12
201,15
202,8
203,6
204,14
205,11
206,14
207,7
208,8
209,9
210,6
211,7
212,12
213,15
214,5
215,12
216,17
217,8
218,7
219,6
220,10
221,6
222,3
223,11
224,16
225,12
226,4
227,12
228,11
229,8
230,12
231,2
232,9
233,14
234,13
235,7
236,7
237,12
238,8
239,7
240,8
241,13
242,12
243,7
244,11
245,11
246,10
247,3
248,11
249,13
250,5
251,11
252,13
253,8
254,3
255,9
256,13
257,9
258,8
259,5
260,24
261,11
262,3
263,6
264,5
265,9
266,7
267,11
268,8
269,19
270,11
271,7
272,13
273,8
274,8
275,3
276,8
277,9
278,14
279,10
280,10
281,10
282,7
283,11
284,8
285,11
286,5
287,7
288,14
289,12
290,10
291,7
292,7
293,14
294,6
295,3
296,16
297,14
298,3
299,5
300,18
301,8
302,9
303,6
304,13
305,15
306,3
307,8
308,8
309,9
310,5
311,12
312,12
313,9
314,16
315,10
316,12
317,6
318,7
319,2
320,7
321,11
322,9
323,14
324,10
325,13
326,10
327,7
328,10
329,9
330,8
331,2
332,16
333,16
334,3
335,7
336,10
337,12
338,6
339,9
340,12
341,12
342,8
343,4
344,16
345,9
346,5
347,6
348,10
349,13
350,13
351,9
352,5
353,12
354,6
355,9
356,13
357,8
358,9
359,13
360,15
361,6
362,5
363,7
364,6
365,9
366,9
367,9
368,16
369,13
370,13
371,5
372,10
373,9
374,5
375,3
376,6
377,20
378,8
379,6
380,11
381,16
382,7
383,3
384,14
385,5
386,14
387,7
388,13
389,11
390,6
391,7
392,12
393,12
394,1
395,16
396,10
397,7
398,9
399,8
400,14
401,8
402,7
403,9
404,14
405,11
406,5
407,3
408,6
409,13
410,13
411,7
412,11
413,15
414,13
415,6
416,8
417,10
419,5
420,12
421,14
422,12
423,13
424,10
425,11
426,9
427,2
428,14
429,7
430,5
431,10
432,14
433,12
434,6
435,8
436,10
437,13
438,4
439,5
440,18
441,8
442,7
443,9
444,11
445,8
446,6
447,11
448,9
449,14
450,9
451,8
452,9
453,10
454,11
455,4
456,12
457,8
458,16
459,10
460,7
461,11
462,3
463,5
464,8
465,17
466,6
467,11
468,15
469,11
470,12
471,2
472,10
473,7
474,1
475,7
476,19
477,14
478,3
479,9
480,16
481,9
482,8
483,8
484,9
485,11
486,8
487,8
488,8
489,12
490,8
491,9
492,9
493,11
494,15
495,5
496,9
497,8
498,12
499,5
500,12
501,10
502,5
503,14
504,9
505,10
506,3
507,8
508,10
509,13
510,11
511,3
512,20
513,15
514,7
515,3
516,8
517,8
518,4
519,6
520,13
521,20
522,8
523,7
524,15
525,10
526,5
527,4
528,8
529,7
530,12
531,14
532,9
533,10
534,6
535,11
536,11
537,7
538,8
539,9
540,14
541,7
542,11
543,7
544,7
545,12
546,8
547,7
548,12
549,17
550,5
551,2
552,13
553,12
554,10
555,5
556,11
557,17
558,6
559,4
560,12
561,8
562,1
563,10
564,14
565,9
566,15
567,7
568,14
569,9
570,7
571,7
572,5
573,10
574,4
575,16
576,12
577,12
578,8
579,9
580,14
581,5
582,9
583,3
584,14
585,11
586,6
587,9
588,9
589,11
590,10
591,10
592,7
593,16
594,8
595,2
596,12
597,12
598,6
599,4
600,10
601,14
602,13
603,8
604,8
605,10
606,5
607,5
608,17
609,10
610,9
611,11
612,15
613,10
614,3
615,8
616,6
617,7
618,5
619,13
620,19
621,11
622,8
623,7
624,13
625,5
626,8
627,4
628,4
629,17
630,13
631,6
632,9
633,15
634,8
635,6
636,10
637,9
638,14
639,4
640,11
641,12
642,4
643,8
644,10
645,15
646,4
647,12
648,13
649,8
650,9
651,5
652,15
653,9
654,6
655,5
656,16
657,14
658,2
659,7
660,8
661,10
662,7
663,11
664,12
665,13
666,11
667,7
668,12
669,9
670,5
671,4
672,7
673,10
674,15
675,13
676,10
677,9
678,11
679,4
680,13
681,9
682,4
683,10
684,9
685,14
686,7
687,6
688,8
689,16
690,9
691,3
692,19
693,9
694,6
695,3
696,14
697,9
698,4
699,10
700,14
701,16
702,4
703,10
704,8
705,7
706,7
707,9
708,13
709,8
710,16
711,11
712,7
713,9
714,6
715,4
716,6
717,13
718,9
719,12
720,16
721,8
722,12
723,7
724,7
725,10
726,1
727,4
728,15
729,17
730,7
731,10
732,11
733,12
734,10
735,2
736,12
737,11
738,7
739,5
740,13
741,12
742,5
743,7
744,11
745,13
746,11
747,9
748,9
749,6
750,10
751,7
752,11
753,10
754,3
755,16
756,14
757,7
758,6
759,7
760,9
761,9
762,13
763,6
764,18
765,11
766,8
767,5
768,5
769,13
770,6
771,5
772,7
773,24
774,9
775,4
776,13
777,11
778,8
779,2
780,13
781,6
782,8
783,10
784,12
785,10
786,4
787,11
788,13
789,11
790,7
791,10
792,13
793,8
794,7
795,10
796,7
797,10
798,6
799,8
800,18
801,13
802,6
803,4
804,11
805,7
806,13
807,5
808,9
809,16
810,10
811,8
812,7
813,12
814,1
815,6
816,10
817,12
818,17
819,7
820,14
821,10
822,7
823,4
824,9
825,9
826,2
827,12
828,14
829,14
830,10
831,7
832,14
833,9
834,6
835,6
836,14
837,9
838,2
839,10
840,12
841,9
842,6
843,14
844,10
845,12
846,11
847,1
848,10
849,10
850,11
851,6
852,7
853,12
854,16
855,10
856,5
857,13
858,4
859,3
860,14
861,12
862,9
863,10
864,13
865,11
866,6
867,7
868,9
869,8
870,4
871,8
872,20
873,13
874,7
875,5
876,15
877,8
878,5
879,6
880,7
881,14
882,7
883,11
884,9
885,14
886,7
887,7
888,13
889,6
890,18
891,5
892,7
893,10
894,7
895,7
896,9
897,12
898,6
899,16
900,12
901,9
902,7
903,3
904,12
905,11
906,7
907,5
908,14
909,17
910,7
911,4
912,9
913,11
914,5
915,6
916,16
917,15
918,10
919,4
920,15
921,10
923,9
924,8
925,7
926,11
927,15
928,11
929,9
930,11
931,7
932,13
933,7
934,6
935,8
936,7
937,10
938,10
939,8
940,9
941,14
942,10
943,6
944,16
945,11
946,5
947,3
948,11
949,13
950,7
951,7
952,9
953,19
954,7
955,8
956,11
957,7
958,5
959,4
960,18
961,8
962,13
963,10
964,9
965,11
966,3
967,6
968,6
969,12
970,7
971,15
972,15
973,9
974,10
975,7
976,10
977,6
978,6
979,6
980,15
981,12
982,7
983,10
984,10
985,9
986,13
987,6
988,9
989,15
990,9
991,2
992,7
993,16
994,5
995,6
996,9
997,15
998,14
999,5
1000,14
1001,5
1002,6
1003,4
1004,15
1005,10
1006,2
1007,13
1008,14
1009,12
1010,6
1011,10
1012,7
1013,7
1014,8
1015,8
1016,19
1017,11
1018,6
1019,7
1020,10
1021,9
1022,7
1023,5
1024,5
1025,18
1026,12
1027,5
1028,12
1029,10
1030,12
1031,4
1032,8
1033,10
1034,8
1035,8
1036,8
1037,13
1038,5
1039,8
1040,14
1041,13
1042,8
1043,8
1044,15
1045,5
1046,6
1047,5
1048,12
1049,12
1050,7
1051,6
1052,19
1053,17
1054,3
1055,5
1056,10
1057,5
1058,9
1059,9
1060,12
1061,15
1062,7
1063,10
