id,entropy
launchpad:0000958130,5.145400
launchpad:0000804195,5.018574
launchpad:0000392237,5.192142
launchpad:0000472515,5.047194
launchpad:0000947721,5.057852
launchpad:0000848378,5.039291
launchpad:0000984610,5.082122
launchpad:0000863973,5.149802
launchpad:0000322574,4.618527
launchpad:0000175879,4.730243
launchpad:0000404423,5.041911
launchpad:0000915949,5.031927
launchpad:0000964993,5.091565
launchpad:0000145181,4.985683
launchpad:0000603319,5.073947
launchpad:0000977113,5.113129
launchpad:0000855559,5.014062
launchpad:0001051541,5.178499
launchpad:0000964006,5.058729
launchpad:0000956654,5.172769
launchpad:0000958873,5.195934
launchpad:0000843274,5.173929
launchpad:0000948254,4.974606
launchpad:0000868302,4.969882
launchpad:0000757774,5.053913
launchpad:0000952378,5.279864
launchpad:0000350970,5.006888
launchpad:0000270419,5.138174
launchpad:0001502724,5.039986
launchpad:0000979305,5.071519
launchpad:0000868221,5.011163
launchpad:0000466291,4.539823
launchpad:0000454556,4.554726
launchpad:0000983411,5.122351
launchpad:0000960737,5.095686
launchpad:0000870587,4.981713
launchpad:0000858052,4.942720
launchpad:0000827105,4.999720
launchpad:0000797988,5.142567
launchpad:0000763225,5.351481
launchpad:0000646454,5.044932
launchpad:0001165674,4.820786
launchpad:0001401094,4.989877
launchpad:0000628908,4.886242
launchpad:0001157775,5.100500
launchpad:0000894675,4.928995
launchpad:0000957924,5.075168
launchpad:0000843238,5.119559
launchpad:0001071514,5.171318
launchpad:0000929880,5.103474
launchpad:0000833624,5.243533
launchpad:0000799343,5.177078
launchpad:0000540184,4.848658
launchpad:0000942601,5.261010
launchpad:0000534319,4.911993
launchpad:0000842372,5.259039
launchpad:0000532348,4.860830
launchpad:0001056511,5.185493
launchpad:0000982015,5.076593
launchpad:0000870838,5.160825
launchpad:0001045014,5.132068
launchpad:0000924421,4.721236
launchpad:0000820537,5.149520
launchpad:0000204619,4.798536
launchpad:0000522539,4.791430
launchpad:0001058737,5.029873
launchpad:0001203176,4.727643
launchpad:0000954317,4.966257
launchpad:0000280594,4.823785
launchpad:0001350410,5.003687
launchpad:0000263498,4.700022
launchpad:0000836425,5.062259
launchpad:0000908771,4.661310
launchpad:0000904854,5.108455
launchpad:0001124285,5.145039
launchpad:0000840180,5.293296
launchpad:0000534228,4.809163
launchpad:0000959492,5.033451
launchpad:0000902617,5.003021
launchpad:0001055633,5.095850
launchpad:0000151864,5.006960
launchpad:0000922637,4.828302
launchpad:0000633088,4.895157
launchpad:0001341114,5.146285
launchpad:0000832379,5.089318
launchpad:0000965870,5.061181
launchpad:0000739493,5.141027
launchpad:0001099291,5.072455
launchpad:0000572880,4.997244
launchpad:0000819435,5.046845
launchpad:0000918293,5.137907
launchpad:0000764985,5.242071
launchpad:0000757056,4.817605
launchpad:0000732680,5.086344
launchpad:0000725513,5.210601
launchpad:0000611891,5.074842
launchpad:0000608500,5.010451
launchpad:0000827471,5.098852
launchpad:0000749298,5.003688
launchpad:0000971110,5.094732
launchpad:0000436813,4.523385
launchpad:0000954130,5.105945
launchpad:0001152205,5.121662
launchpad:0001271628,5.073017
launchpad:0001058408,5.452616
launchpad:0000942151,5.083813
launchpad:0000763377,5.137825
launchpad:0000948017,5.193406
launchpad:0001063958,5.018593
launchpad:0000835883,5.201371
launchpad:0000832996,5.272734
launchpad:0000867996,5.096901
launchpad:0000917974,5.075562
launchpad:0000979180,5.218992
launchpad:0000922305,5.060500
launchpad:0000681169,4.827894
launchpad:0000256023,4.513964
launchpad:0000912243,5.125796
launchpad:0000860087,5.227944
launchpad:0000332035,4.955799
launchpad:0001044733,5.096769
launchpad:0000864261,5.089453
launchpad:0000730680,5.240926
launchpad:0000561388,5.017886
launchpad:0001059300,5.026599
launchpad:0000930675,5.062379
launchpad:0000923580,5.053251
launchpad:0000704792,5.037627
launchpad:0001167611,5.205531
launchpad:0000862160,5.172634
launchpad:0000976771,5.105132
launchpad:0000591573,4.842784
launchpad:0001320462,5.212795
launchpad:0001119504,5.011896
launchpad:0000863652,5.201040
launchpad:0000767469,5.105113
launchpad:0000978128,5.058093
launchpad:0000921140,5.085653
launchpad:0000811586,5.251057
launchpad:0000868900,4.603178
launchpad:0001063285,5.054324
launchpad:0001075069,4.995511
launchpad:0000173878,4.489999
launchpad:0001131546,4.980473
launchpad:0001342694,5.053395
launchpad:0000955497,5.068702
launchpad:0000903551,4.951429
launchpad:0000982328,5.084568
launchpad:0000858663,5.018017
launchpad:0000814749,5.110201
launchpad:0000809353,5.080065
launchpad:0000947157,5.053610
launchpad:0000847544,5.123886
launchpad:0000920071,4.943945
launchpad:0000951225,5.194654
launchpad:0000634870,4.828603
launchpad:0001062063,5.164960
launchpad:0000732452,5.071392
launchpad:0000642182,4.980244
launchpad:0000980408,5.029452
launchpad:0001048157,5.197769
launchpad:0000421401,5.003519
launchpad:0001117111,5.163538
launchpad:0000731652,4.859519
launchpad:0000648208,4.570998
launchpad:0000982782,5.117862
launchpad:0001234573,4.974762
launchpad:0000869061,5.156321
launchpad:0001058479,5.070281
launchpad:0001156341,5.167613
launchpad:0000746722,5.199324
launchpad:0000831416,5.142342
launchpad:0001341351,5.045025
launchpad:0000951326,5.206070
launchpad:0000941686,5.241984
launchpad:0000919379,5.153769
launchpad:0000790927,5.136870
launchpad:0000555483,4.495832
launchpad:0000350753,4.900596
launchpad:0000964455,5.068485
launchpad:0001076458,4.951597
launchpad:0000955500,5.233248
launchpad:0000918942,4.990320
launchpad:0000405429,5.177808
launchpad:0000354554,5.194899
launchpad:0000926226,5.097859
launchpad:0000923205,4.543026
launchpad:0000456186,5.186219
launchpad:0000275476,4.910828
launchpad:0000919070,5.068146
launchpad:0001010935,5.090014
launchpad:0000718595,4.976744
launchpad:0000805179,5.095642
launchpad:0000765203,5.235221
launchpad:0000936195,5.223948
launchpad:0000725537,5.065101
launchpad:0000670885,4.701989
launchpad:0000805789,5.105382
launchpad:0000733362,5.206396
launchpad:0000949121,4.878644
launchpad:0000451896,4.616270
launchpad:0000611319,5.039451
launchpad:0000388201,4.773662
launchpad:0000937601,5.076453
launchpad:0000946285,5.294001
launchpad:0001052424,4.966572
launchpad:0000953368,5.146178
launchpad:0000844783,4.794706
launchpad:0000974231,5.162729
launchpad:0000938436,4.986909
launchpad:0000754059,5.105791
launchpad:0000237593,4.684487
launchpad:0001225809,5.081059
launchpad:0000976432,5.070316
launchpad:0000919726,5.200405
launchpad:0001049939,5.237564
launchpad:0001045825,5.100828
launchpad:0000552523,4.700488
launchpad:0000924852,4.852997
launchpad:0000946807,5.097621
launchpad:0000435702,4.606893
launchpad:0000913024,5.103386
launchpad:0000887342,5.074347
launchpad:0000857634,5.300197
launchpad:0001507194,5.157806
launchpad:0000543765,4.822275
launchpad:0000693461,5.123142
launchpad:0000623207,5.004984
launchpad:0001200270,5.126623
launchpad:0000636816,5.059116
launchpad:0001029264,4.948910
launchpad:0000857415,5.000425
launchpad:0000645647,4.986330
launchpad:0001058936,5.118935
launchpad:0000541018,5.061486
launchpad:0000613651,4.534297
launchpad:0000261974,4.900073
launchpad:0000939253,5.093842
launchpad:0001040730,5.168041
launchpad:0000840123,5.060466
launchpad:0001032172,5.094148
launchpad:0000921617,4.803010
launchpad:0000900160,5.004426
launchpad:0000637744,5.003587
launchpad:0000764290,4.803735
launchpad:0000889798,5.236897
launchpad:0001199448,5.085978
launchpad:0000941335,5.198133
launchpad:0001054888,4.975400
launchpad:0001334353,5.191258
launchpad:0001112664,5.140409
launchpad:0000264481,5.033832
launchpad:0000146246,4.865925
launchpad:0000284772,4.912373
launchpad:0000950366,5.081619
launchpad:0001209144,5.121151
launchpad:0001057491,5.034174
launchpad:0000977253,5.203617
launchpad:0000339445,4.577367
launchpad:0000380839,4.959162
launchpad:0000869916,5.252789
launchpad:0000942183,5.048838
launchpad:0001100165,5.094921
launchpad:0000286211,4.751199
launchpad:0000847512,5.155513
launchpad:0000919110,5.014302
launchpad:0000916713,5.090441
launchpad:0000246749,4.150217
launchpad:0000903733,4.946281
launchpad:0000440446,4.549059
launchpad:0000979008,4.953781
launchpad:0000860089,5.035821
launchpad:0000876621,4.963963
launchpad:0000931482,5.113243
launchpad:0000944179,4.913804
launchpad:0000710075,4.868534
launchpad:0000725676,5.004977
launchpad:0000689918,5.054087
launchpad:0000916258,5.190623
launchpad:0000745052,4.957368
launchpad:0000948991,4.984954
launchpad:0000937421,5.211131
launchpad:0000811639,4.935368
launchpad:0000501584,5.124465
launchpad:0000954271,4.997231
launchpad:0000921940,4.733034
launchpad:0000918744,5.032855
launchpad:0001027043,5.157400
launchpad:0000744049,4.970405
launchpad:0000424617,4.751045
launchpad:0000969529,5.194213
launchpad:0000845633,5.067784
launchpad:0001045672,5.173166
launchpad:0000145666,4.834176
launchpad:0000976009,5.087849
launchpad:0000646192,5.024259
launchpad:0001046224,5.053991
launchpad:0000358522,5.034315
launchpad:0000286241,4.874901
launchpad:0000741733,5.090262
launchpad:0000540942,4.977438
launchpad:0000922193,4.822682
launchpad:0000798710,5.102877
launchpad:0000906230,4.910247
launchpad:0000816879,5.267863
launchpad:0000531175,4.867119
launchpad:0000834961,5.123706
launchpad:0000953430,5.026372
launchpad:0000411766,5.017801
launchpad:0001092195,4.942940
launchpad:0000357400,4.712725
launchpad:0001380164,4.990100
launchpad:0000533651,5.009316
launchpad:0001296343,4.979625
launchpad:0000929031,5.037747
launchpad:0001041861,5.161843
launchpad:0001209477,5.195499
launchpad:0001092502,5.160161
launchpad:0000985848,5.117398
launchpad:0000543846,4.763372
launchpad:0000742233,5.327397
launchpad:0000522377,4.734902
launchpad:0000959977,5.076365
launchpad:0000397161,4.109828
launchpad:0000893500,5.001649
launchpad:0000932289,5.114171
launchpad:0001109880,5.162178
