stack_length,count
1,2207
2,577
3,1179
4,1085
5,1144
6,1624
7,1232
8,1279
9,1462
10,1428
11,1505
12,1359
13,1492
14,1283
15,1310
16,1103
17,1148
18,1046
19,922
20,811
21,886
22,837
23,755
24,662
25,602
26,607
27,515
28,520
29,441
30,446
31,447
32,432
33,342
34,404
35,432
36,288
37,282
38,254
39,268
40,254
41,244
42,258
43,235
44,216
45,199
46,171
47,170
48,177
49,144
50,142
51,139
52,118
53,115
54,127
55,91
56,107
57,99
58,76
59,85
60,84
61,57
62,89
63,82
64,78
65,68
66,45
67,76
68,59
69,48
70,47
71,57
72,48
73,44
74,44
75,35
76,34
77,34
78,25
79,42
80,37
81,28
82,72
83,32
84,65
85,39
86,37
87,73
88,34
89,37
90,29
91,16
92,22
93,20
94,18
95,26
96,23
97,11
98,20
99,22
100,19
101,19
102,20
103,16
104,13
105,18
106,15
107,14
108,21
109,18
110,11
111,15
112,17
113,13
114,9
115,10
116,10
117,13
118,14
119,20
120,10
121,12
122,8
123,8
124,11
125,9
126,6
127,7
128,8
129,3
130,7
131,1
132,5
134,4
135,7
136,7
137,4
138,5
139,8
140,3
141,5
142,7
143,7
144,4
145,2
146,3
147,4
148,1
149,2
150,4
151,5
152,2
153,1
154,1
156,2
157,2
158,4
159,3
160,1
161,2
162,1
163,2
164,3
165,5
166,1
167,4
168,1
169,2
170,3
171,2
172,1
173,5
174,3
175,2
176,2
177,2
179,1
180,1
181,2
182,1
183,3
184,1
185,3
186,2
188,1
189,2
190,3
191,2
194,1
195,1
196,2
197,2
201,3
202,2
203,1
204,2
209,1
211,1
216,1
218,1
228,1
230,2
234,2
235,1
238,1
241,1
246,2
249,1
250,5
252,1
256,1
258,1
259,1
264,1
280,1
283,1
285,1
292,2
316,1
317,1
321,1
328,1
341,1
342,2
353,1
361,1
405,1
429,1
467,1
499,1
501,1
518,1
520,1
682,1
828,1
910,1
1037,1
1057,1
1072,1
1099,1
1100,1
1208,1
1290,2
1514,1
1527,1
1917,1
1970,1
2000,413
2654,1
