after,n,b3p,b3r,b3f,purity,invpur,purf,buckets,obuckets,time
1000,1000,0.5246367199490735,0.9454051948051949,0.6748029092875525,0.5760000000000004,0.9530000000000007,0.6066336598695659,413,756,36.89676094055176
2000,1000,0.5859404761904765,0.942675,0.722681991640428,0.6330000000000005,0.9490000000000007,0.6495629525508761,471,748,41.087820053100586
3000,1000,0.5804652261698734,0.9553666666666667,0.722158630548567,0.6270000000000004,0.9620000000000007,0.649926911196682,465,762,38.818235874176025
4000,1000,0.6256869809928622,0.9304190476190475,0.7482151913289753,0.6670000000000005,0.9380000000000007,0.679240071030382,514,765,37.55948495864868
5000,1000,0.592470067633516,0.9308424242424242,0.7240750364593863,0.6380000000000005,0.9390000000000007,0.6492035823940225,471,746,41.561527967453
6000,1000,0.5928769621703839,0.9239686868686865,0.7222880568742106,0.6380000000000005,0.9320000000000007,0.6526859933935035,468,733,47.64708399772644
7000,1000,0.5919411561711562,0.9395095238095238,0.7262843799379002,0.6320000000000005,0.9460000000000007,0.6548191639242491,479,774,43.65350294113159
8000,1000,0.6022376401376397,0.931152380952381,0.7314186277470043,0.6490000000000005,0.9440000000000007,0.6631865908075392,485,752,46.74839782714844
9000,1000,0.571002777777777,0.9390000000000005,0.7101597642388439,0.6250000000000004,0.9460000000000007,0.6373999027975298,458,750,53.6807758808136
10000,1000,0.5919274915905348,0.932484126984127,0.7241652890966472,0.6360000000000005,0.9430000000000007,0.6587259733933257,467,739,50.06908702850342
11000,1000,0.5985684153565737,0.9578666666666668,0.7367460929295463,0.6350000000000005,0.9620000000000007,0.6716189431005848,490,788,55.200422048568726
12000,1000,0.5900334776334772,0.9386190476190478,0.7245814881942535,0.6340000000000005,0.9480000000000007,0.6552904089040779,478,764,57.80864715576172
13000,1000,0.6011184829059825,0.9427333333333335,0.7341306013405483,0.6420000000000005,0.9500000000000007,0.6637089280168117,493,780,55.27181792259216
14000,1000,0.5845156289788633,0.9280166666666666,0.7172610425326859,0.6280000000000004,0.9350000000000007,0.6439631042370033,475,755,59.16701793670654
15000,1000,0.5956055188997044,0.9310683760683764,0.7264805733393441,0.6340000000000005,0.9410000000000007,0.6550998759378738,467,749,65.49017786979675
16000,1000,0.5844189560439559,0.946920057720058,0.722763576994741,0.6280000000000004,0.9550000000000007,0.6489259819104555,460,759,53.972440004348755
17000,1000,0.6182977974199722,0.9463991341991342,0.7479486772559707,0.6590000000000005,0.9540000000000007,0.6783229556776015,495,764,56.290590047836304
18000,1000,0.5959083404899194,0.942183333333333,0.7300668954384391,0.6360000000000005,0.9510000000000007,0.6624617090870443,479,761,57.038143157958984
19000,1000,0.5887691391941382,0.931722222222222,0.7215684411844692,0.6350000000000005,0.9410000000000007,0.6511334283151726,472,740,53.6193528175354
20000,1000,0.5988434618512419,0.9504166666666665,0.7347388555235841,0.6450000000000005,0.9570000000000007,0.6655088208777283,483,770,61.301718950271606
21000,1000,0.5959131362889979,0.9192166666666673,0.7230711001709214,0.6360000000000005,0.9300000000000007,0.6550916611646826,468,736,54.06354212760925
22000,1000,0.5924416194583366,0.9331555555555554,0.7247525068795999,0.6340000000000005,0.9420000000000007,0.6501780660615534,477,753,61.66182494163513
23000,1000,0.5745514207722975,0.9323746031746035,0.7109800274639781,0.6160000000000004,0.9430000000000007,0.6382374613604338,461,758,59.15829610824585
24000,1000,0.6186867505879129,0.953352380952381,0.7503966980246387,0.6650000000000005,0.9600000000000007,0.6777867516626324,485,753,56.949280977249146
25000,1000,0.5920879627563834,0.9338848484848487,0.7247075089610315,0.6400000000000005,0.9420000000000007,0.6593365586517588,484,758,63.869691133499146
26000,1000,0.5902412117145277,0.9360666666666667,0.7239759833578273,0.6310000000000004,0.9440000000000007,0.6504894263790131,479,768,69.85433006286621
27000,1000,0.5839584413933379,0.925795238095238,0.7161776806804732,0.6260000000000004,0.9350000000000007,0.6459121373358118,476,750,50.30479907989502
28000,1000,0.5839209623709621,0.9298452380952383,0.7173579726082029,0.6280000000000004,0.9380000000000007,0.6457477258324436,466,747,47.022032022476196
29000,1000,0.5943773757988042,0.9485555555555553,0.7308159032105097,0.6380000000000005,0.9560000000000007,0.661271879681558,474,754,45.96172904968262
30000,1000,0.580956085332684,0.9429000000000004,0.7189438663305232,0.6230000000000004,0.9500000000000007,0.6447955114406448,456,757,55.95729303359985
31000,1000,0.5997562127415069,0.9275047619047615,0.7284632456853722,0.6440000000000005,0.9380000000000007,0.664854930788323,491,763,46.309685945510864
32000,1000,0.6186717643467649,0.9366857142857143,0.7451676048197854,0.6630000000000005,0.9450000000000007,0.6774061136209903,516,775,58.872825145721436
33000,1000,0.593331889707337,0.937388888888889,0.7266938929844049,0.6400000000000005,0.9460000000000007,0.662093302770565,480,766,43.23219394683838
34000,1000,0.5816830493093643,0.9294690476190476,0.7155552256542062,0.6260000000000004,0.9380000000000007,0.6469706413823143,465,752,55.88766002655029
35000,1000,0.5736460837438423,0.9539,0.716444505480481,0.6160000000000004,0.9580000000000007,0.6414288873429319,470,774,48.96586990356445
36000,1000,0.5758816498316501,0.9366357142857143,0.7132365329886539,0.6180000000000004,0.9450000000000007,0.6443948355327768,477,772,46.31524395942688
37000,1000,0.602279545235022,0.9247359307359307,0.7294615471686491,0.6440000000000005,0.9360000000000007,0.6578406398451913,473,743,47.922964096069336
38000,1000,0.5769979655479658,0.9350499999999999,0.7136307312712831,0.6200000000000004,0.9440000000000007,0.6412601970827219,472,763,46.47879385948181
39000,1000,0.6019403573550626,0.9509666666666668,0.7372305055116762,0.6420000000000005,0.9560000000000007,0.667548167772827,496,784,53.763010025024414
40000,1000,0.6046467451623022,0.9334555555555553,0.7339054927060642,0.6480000000000005,0.9420000000000007,0.6739656215416138,483,752,63.01317000389099
41000,1000,0.6021685649698478,0.9485888888888886,0.7366856867877392,0.6430000000000005,0.9560000000000007,0.6676251944553784,481,761,48.047722816467285
42000,1000,0.5773602591123969,0.9375166666666664,0.7146255334379562,0.6220000000000004,0.9470000000000007,0.6506531651504227,469,763,51.55165886878967
43000,1000,0.5648423756195499,0.9385272727272727,0.7052423532614952,0.6120000000000004,0.9470000000000007,0.6320409807579105,461,764,46.36880397796631
44000,1000,0.5819565627858738,0.9461888888888886,0.7206654745076668,0.6240000000000004,0.9530000000000007,0.6504225195695293,471,761,48.297792196273804
45000,1000,0.5671786656480768,0.9308772727272725,0.704878524095924,0.6120000000000004,0.9380000000000007,0.6380001045841297,457,753,54.331815004348755
46000,1000,0.5910629190689364,0.9472809523809521,0.7279291129687144,0.6320000000000005,0.9520000000000007,0.6590352488968524,494,778,47.915427923202515
47000,1000,0.6007967272837239,0.9355004329004332,0.7316886511613604,0.6490000000000005,0.9470000000000007,0.6685582924668483,469,742,43.0615758895874
48000,1000,0.5940951940126995,0.9410444444444439,0.7283636846986444,0.6340000000000005,0.9480000000000007,0.6595942946578326,482,767,43.03814697265625
49000,1000,0.5940354342059748,0.9414999999999998,0.728455167944895,0.6420000000000005,0.9500000000000007,0.6624365393757883,472,749,46.525075912475586
50000,1000,0.6019280830280823,0.9409047619047618,0.7341780433381682,0.6410000000000005,0.9500000000000007,0.6642092154723126,477,760,48.08417201042175
51000,1000,0.5774173329035025,0.9438777777777773,0.7165097491008923,0.6140000000000004,0.9480000000000007,0.6440219086187982,475,780,59.76456308364868
52000,1000,0.5871039282194764,0.9401309523809525,0.7228155697525387,0.6280000000000004,0.9480000000000007,0.6498447342163295,468,760,52.594582080841064
53000,1000,0.5891386275387902,0.9316761904761908,0.7218320411740026,0.6240000000000004,0.9380000000000007,0.6545535896483083,479,769,54.01912808418274
54000,1000,0.570571813622535,0.9441880952380951,0.7113036339944139,0.6090000000000004,0.9510000000000007,0.6396420500813708,465,774,48.49992895126343
55000,1000,0.5953779886571502,0.9335904761904761,0.7270774155556576,0.6330000000000005,0.9380000000000007,0.658063158621552,496,770,58.984346866607666
56000,1000,0.5773110065855827,0.9488060606060607,0.7178429409887483,0.6270000000000004,0.9560000000000007,0.6487235343255413,459,765,46.951809883117676
57000,1000,0.5800292063492067,0.9395285714285717,0.7172534267503358,0.6250000000000004,0.9450000000000007,0.6405381965751626,465,768,45.711727142333984
58000,1000,0.5847691475191474,0.9321190476190475,0.7186745372659339,0.6340000000000005,0.9390000000000007,0.6483497228020223,477,757,48.4237539768219
59000,1000,0.5773994501146886,0.9303095238095239,0.7125515822671997,0.6240000000000004,0.9390000000000007,0.6417339216339215,463,757,48.92446494102478
60000,1000,0.5860482857438094,0.9335761904761902,0.7200735900236965,0.6220000000000004,0.9420000000000007,0.648295267079225,476,770,43.58527898788452
61000,1000,0.5899082236398607,0.9446650793650793,0.7262809770138012,0.6360000000000005,0.9510000000000007,0.6554376835860095,467,761,38.857993841171265
62000,1000,0.5932109040717732,0.9321476190476192,0.7250231646429892,0.6410000000000005,0.9400000000000007,0.6526935071290072,482,749,44.6540789604187
63000,1000,0.5986711546021921,0.9365738095238096,0.7304368189046533,0.6510000000000005,0.9460000000000007,0.6613912360098821,478,745,47.179449796676636
64000,1000,0.5921724712107065,0.932365584415585,0.7243128240158966,0.6410000000000005,0.9410000000000007,0.6614810141306599,478,752,48.79284977912903
65000,1000,0.5935226183911664,0.9547999999999998,0.7320120358749631,0.6360000000000005,0.9610000000000007,0.6620426622510295,482,778,54.597322940826416
66000,1000,0.5779092264104463,0.9302111111111107,0.7129107276732015,0.6240000000000004,0.9390000000000007,0.6432086671751341,456,740,34.53752303123474
67000,1000,0.5823969696969689,0.9543,0.7233455120190879,0.6200000000000004,0.9590000000000007,0.6461472265406597,479,792,37.41454005241394
68000,1000,0.6018775639565115,0.9402256410256407,0.7339336518615324,0.6470000000000005,0.9480000000000007,0.6618568235367384,482,744,59.63688611984253
69000,1000,0.5992843821264875,0.9333714285714285,0.7299158962653663,0.6450000000000005,0.9410000000000007,0.6603668483806022,487,759,53.03654408454895
70000,1000,0.590733035506693,0.9473880952380954,0.7277104957681829,0.6380000000000005,0.9530000000000007,0.6560425505718179,474,767,39.46388292312622
71000,1000,0.5964570249673702,0.9214296536796536,0.7241557590325032,0.6370000000000005,0.9300000000000007,0.6525192538876307,480,746,38.36671304702759
72000,1000,0.5906154677001488,0.9342333333333329,0.723708024997319,0.6390000000000005,0.9430000000000007,0.6561959785034005,458,740,37.0554678440094
73000,1000,0.5928222689075627,0.9261555555555556,0.7229146192438307,0.6390000000000005,0.9370000000000007,0.6540705128878127,481,757,40.18753004074097
74000,1000,0.60290773088023,0.9309285714285715,0.7318434591315038,0.6440000000000005,0.9400000000000007,0.662720759657954,500,768,43.969619035720825
75000,1000,0.5895059497227915,0.9342205128205128,0.7228706256653569,0.6360000000000005,0.9420000000000007,0.6528329479131103,476,751,44.39299702644348
76000,1000,0.6051556877832734,0.9581555555555556,0.7418014636512338,0.6550000000000005,0.9640000000000007,0.6752581844218087,484,770,39.42961406707764
77000,1000,0.5767769695280558,0.9442111111111111,0.7161124142833878,0.6230000000000004,0.9520000000000007,0.6389626584370733,467,763,47.00139284133911
78000,1000,0.5857432143208006,0.9414523809523807,0.7221725173328257,0.6280000000000004,0.9470000000000007,0.650802800372029,480,766,45.88992714881897
79000,1000,0.5842373592403003,0.9407222222222225,0.7208126347357688,0.6270000000000004,0.9480000000000007,0.6472297797269462,479,763,54.88910794258118
80000,1000,0.5958012028705578,0.93,0.726300539843821,0.6370000000000005,0.9370000000000007,0.6606770636311204,485,758,46.86135911941528
81000,1000,0.6030280090824202,0.9475857142857143,0.7370252411792889,0.6410000000000005,0.9540000000000007,0.667111385615937,496,780,43.728086948394775
